theta_deg,phi_deg,dir_bempp_imp_dBi
1.5,7.499999999999999,19.946581051480898
1.5,22.5,19.946463616232407
1.5,37.49999999999999,19.94622112469701
1.5,52.5,19.945828926725405
1.5,67.5,19.945392843743118
1.5,82.5,19.94512094001689
1.5,97.49999999999999,19.945177152878856
1.5,112.49999999999999,19.945546589468464
1.5,127.49999999999999,19.946039345278322
1.5,142.5,19.9464319790613
1.5,157.5,19.946618148987433
1.5,172.49999999999997,19.946637327036555
1.5,187.5,19.946573723938464
1.5,202.49999999999997,19.946443075778323
1.5,217.49999999999997,19.94618840638314
1.5,232.5,19.945786033859033
1.5,247.49999999999997,19.945342743604854
1.5,262.49999999999994,19.945067335324406
1.5,277.5,19.945124060607085
1.5,292.5,19.945497854421387
1.5,307.49999999999994,19.94599824543678
1.5,322.5,19.94640102709459
1.5,337.5,19.946599089478575
1.5,352.49999999999994,19.946631231495783
4.5,7.499999999999999,18.649234613155855
4.5,22.5,18.657923863220475
4.5,37.49999999999999,18.665520359701347
4.5,52.5,18.662021614100905
4.5,67.5,18.648356901417046
4.5,82.5,18.636142833113013
4.5,97.49999999999999,18.636646294835447
4.5,112.49999999999999,18.649744315360774
4.5,127.49999999999999,18.663947604639095
4.5,142.5,18.667486444841195
4.5,157.5,18.65939302487601
4.5,172.49999999999997,18.64978277232527
4.5,187.5,18.649228315399085
4.5,202.49999999999997,18.65788786616831
4.5,217.49999999999997,18.665446768109803
4.5,232.5,18.66190940547988
4.5,247.49999999999997,18.648215394081348
4.5,262.49999999999994,18.635989983956577
4.5,277.5,18.63650265603585
4.5,292.5,18.64962579201702
4.5,307.49999999999994,18.663860838430097
4.5,322.5,18.667429125569555
4.5,337.5,18.659358727003255
4.5,352.49999999999994,18.64976748173618
7.499999999999999,7.499999999999999,15.798880855811381
7.499999999999999,22.5,15.89446358077807
7.499999999999999,37.49999999999999,15.986231577351521
7.499999999999999,52.5,15.976855705270998
7.499999999999999,67.5,15.868865067320701
7.499999999999999,82.5,15.763811461576635
7.499999999999999,97.49999999999999,15.765224054642708
7.499999999999999,112.49999999999999,15.87278356380033
7.499999999999999,127.49999999999999,15.982404577096634
7.499999999999999,142.5,15.992104228362887
7.499999999999999,157.5,15.89904869625148
7.499999999999999,172.49999999999997,15.80066345915667
7.499999999999999,187.5,15.798942698938106
7.499999999999999,202.49999999999997,15.894507469151671
7.499999999999999,217.49999999999997,15.986201028636241
7.499999999999999,232.5,15.97672695746273
7.499999999999999,247.49999999999997,15.868660300957844
7.499999999999999,262.49999999999994,15.763589121644886
7.499999999999999,277.5,15.765049957131145
7.499999999999999,292.5,15.872696922382268
7.499999999999999,307.49999999999994,15.982400794871086
7.499999999999999,322.5,15.992141402472633
7.499999999999999,337.5,15.899071490382985
7.499999999999999,352.49999999999994,15.800637378344364
10.499999999999998,7.499999999999999,10.519701075442088
10.499999999999998,22.5,11.077809503940536
10.499999999999998,37.49999999999999,11.59893879078469
10.499999999999998,52.5,11.581746791736535
10.499999999999998,67.5,11.031993336632834
10.499999999999998,82.5,10.458295129277444
10.499999999999998,97.49999999999999,10.461365770804228
10.499999999999998,112.49999999999999,11.040245224278138
10.499999999999998,127.49999999999999,11.593349168753068
10.499999999999998,142.5,11.61192375607288
10.499999999999998,157.5,11.08905976387711
10.499999999999998,172.49999999999997,10.524552994257352
10.499999999999998,187.5,10.520086242770766
10.499999999999998,202.49999999999997,11.078204186271691
10.499999999999998,217.49999999999997,11.599141114014442
10.499999999999998,232.5,11.581703978585786
10.499999999999998,247.49999999999997,11.031782106727974
10.499999999999998,262.49999999999994,10.458091880061684
10.499999999999998,277.5,10.461350389157642
10.499999999999998,292.5,11.0404699875681
10.499999999999998,307.49999999999994,11.593736520770758
10.499999999999998,322.5,11.612322259046177
10.499999999999998,337.5,11.08927294686586
10.499999999999998,352.49999999999994,10.524432506168155
13.5,7.499999999999999,-2.1528710333556207
13.5,22.5,1.9266566970007537
13.5,37.49999999999999,4.713365076644271
13.5,52.5,4.68786190236306
13.5,67.5,1.874817148562299
13.5,82.5,-2.1744472002943818
13.5,97.49999999999999,-2.163642630527822
13.5,112.49999999999999,1.8942335987123424
13.5,127.49999999999999,4.709516025267076
13.5,142.5,4.739386656447549
13.5,157.5,1.9584812664626416
13.5,172.49999999999997,-2.1303745023389955
13.5,187.5,-2.1496161267952187
13.5,202.49999999999997,1.928703066118838
13.5,217.49999999999997,4.714292564313242
13.5,232.5,4.688103224486141
13.5,247.49999999999997,1.8747627034408105
13.5,262.49999999999994,-2.173928094240192
13.5,277.5,-2.1619469681706875
13.5,292.5,1.8960399235824164
13.5,307.49999999999994,4.711154544181601
13.5,322.5,4.740783594120772
13.5,337.5,1.9590919414788777
13.5,352.49999999999994,-2.132011007293989
16.499999999999996,7.499999999999999,0.5986964897814517
16.499999999999996,22.5,-9.32044520437661
16.499999999999996,37.49999999999999,-7.693225100636801
16.499999999999996,52.5,-7.731865799155493
16.499999999999996,67.5,-9.59932440210239
