theta_deg,phi_deg,dir_bempp_imp_dBi
0.5,2.5,20.08976639013138
0.5,7.499999999999999,20.08963365380208
0.5,12.5,20.089502083510013
0.5,17.5,20.089373561908207
0.5,22.5,20.08924991868902
0.5,27.5,20.08913289627255
0.5,32.5,20.089024118342905
0.5,37.5,20.088925061301218
0.5,42.49999999999999,20.08883702862621
0.5,47.5,20.08876112814854
0.5,52.5,20.08869825234031
0.5,57.5,20.088649061872555
0.5,62.49999999999999,20.088613972869442
0.5,67.5,20.088593148448727
0.5,72.5,20.088586495249796
0.5,77.5,20.08859366568018
0.5,82.5,20.088614066538373
0.5,87.5,20.08864687448636
0.5,92.5,20.088691058554712
0.5,97.5,20.08874540948769
0.5,102.5,20.08880857530585
0.5,107.49999999999999,20.088879102021732
0.5,112.5,20.088955478034176
0.5,117.5,20.089036180393055
0.5,122.49999999999999,20.08911972090665
0.5,127.50000000000001,20.08920468998474
0.5,132.5,20.089289796186375
0.5,137.5,20.0893738996688
0.5,142.5,20.08945603809535
0.5,147.49999999999997,20.089535444024598
0.5,152.5,20.089611553327966
0.5,157.5,20.089684004722045
0.5,162.5,20.08975263100631
0.5,167.5,20.08981744302559
0.5,172.5,20.08987860769368
0.5,177.5,20.089936421602225
0.5,182.5,20.08999128178912
0.5,187.5,20.090043655164003
0.5,192.49999999999997,20.090094047907108
0.5,197.5,20.090142975903895
0.5,202.5,20.090190936991167
0.5,207.5,20.090238385510112
0.5,212.5,20.090285709422243
0.5,217.5,20.090333210075578
0.5,222.5,20.09038108462328
0.5,227.5,20.09042941109982
0.5,232.5,20.090478136238858
0.5,237.49999999999997,20.090527066249596
0.5,242.49999999999997,20.09057586092333
0.5,247.49999999999997,20.09062403158396
0.5,252.50000000000003,20.090670943489982
0.5,257.5,20.09071582331184
0.5,262.5,20.09075777222673
0.5,267.5,20.09079578498636
0.5,272.5,20.09082877502667
0.5,277.5,20.090855605324105
0.5,282.5,20.090875124290584
0.5,287.5,20.090886205580198
0.5,292.5,20.090887790298417
0.5,297.5,20.090878929801455
0.5,302.5,20.09085882708542
0.5,307.5,20.09082687471832
0.5,312.5,20.0907826873728
0.5,317.5,20.09072612727141
0.5,322.5,20.090657321238297
0.5,327.5,20.09057666853074
0.5,332.5,20.090484839156588
0.5,337.5,20.090382762923966
0.5,342.49999999999994,20.090271609968088
0.5,347.5,20.090152763916205
0.5,352.5,20.09002778915203
0.5,357.5,20.089898393806827
1.5000000000000002,2.5,19.950544868770045
1.5000000000000002,7.499999999999999,19.949923716288968
1.5000000000000002,12.5,19.949316615714103
1.5000000000000002,17.5,19.94873286166365
1.5000000000000002,22.5,19.948180252965784
1.5000000000000002,27.5,19.947665360940782
1.5000000000000002,32.5,19.947193891803437
1.5000000000000002,37.5,19.946771069907964
1.5000000000000002,42.49999999999999,19.946401968334364
1.5000000000000002,47.5,19.946091722723626
1.5000000000000002,52.5,19.945845582080015
1.5000000000000002,57.5,19.945668774214038
1.5000000000000002,62.49999999999999,19.94556619058674
1.5000000000000002,67.5,19.945541922140844
1.5000000000000002,72.5,19.945598700893242
1.5000000000000002,77.5,19.945737318678848
1.5000000000000002,82.5,19.945956102328168
1.5000000000000002,87.5,19.94625052263136
1.5000000000000002,92.5,19.946613002780687
1.5000000000000002,97.5,19.947032971867415
1.5000000000000002,102.5,19.94749718274699
1.5000000000000002,107.49999999999999,19.947990284248895
1.5000000000000002,112.5,19.948495608757206
1.5000000000000002,117.5,19.94899611105973
1.5000000000000002,122.49999999999999,19.94947537605586
1.5000000000000002,127.50000000000001,19.949918603621718
1.5000000000000002,132.5,19.95031347979317
1.5000000000000002,137.5,19.95065085438151
1.5000000000000002,142.5,19.95092516493938
1.5000000000000002,147.49999999999997,19.95113457336512
1.5000000000000002,152.5,19.951280811326992
1.5000000000000002,157.5,19.9513687606585
1.5000000000000002,162.5,19.95140582147472
1.5000000000000002,167.5,19.951401140954786
1.5000000000000002,172.5,19.95136478725804
