Nx,Nv,Nt,N_rwg,cond_Z,P_rad,P_in,energy_ratio,J_pec,max_grad_err
2,9,8,8,6.311433135915577,1.9313119202910214e-5,1.9693001163467437e-5,0.98070979850131,0.0021592275592527146,3.7656159167472917e-8
3,16,18,21,7.625011371199217,2.314911508523418e-5,2.2991132996853707e-5,1.0068714355400445,0.0025353784961044037,2.2319401323045752e-7
4,25,32,40,7.438536279267452,2.3457141588110247e-5,2.3259235281737363e-5,1.0085087193957867,0.0025822626381245117,1.2407474448701097e-7
5,36,50,65,9.433099981116905,2.377699890645276e-5,2.3564609896404037e-5,1.0090130501197532,0.002641394692139448,1.9670673424109327e-7
6,49,72,96,11.778018321938264,2.4024419486163873e-5,2.380452624928158e-5,1.0092374548680183,0.002688178695754795,2.2754105877139715e-7
8,81,128,176,20.443689572824443,2.436410910058252e-5,2.4136126807534803e-5,1.009445686744426,0.0027531683602265936,2.829300899010694e-6
