theta_deg,dir_julia_imp_dBi
0.5,19.167923409018652
0.5,19.167966468010164
1.5000000000000002,19.063383505269062
1.5000000000000002,19.06376697529909
2.5,18.852931193660933
2.5,18.85397368186276
3.5,18.533717894159253
3.5,18.535693671532457
4.5,18.10119587749109
4.5,18.104310748915978
5.5,17.54873940515431
5.5,17.5531037756208
6.5,16.867042636621502
6.5,16.872639899817557
7.499999999999999,16.04317332647794
7.499999999999999,16.04982041203884
8.5,15.059061710109134
8.5,15.066356088754203
9.5,13.889005310339378
9.5,13.896247563724927
10.5,12.49534475621385
10.5,12.50141459173338
11.5,10.820475643224064
11.5,10.82361327318328
12.5,8.770821718845305
12.5,8.768202001764715
13.5,6.181084444021567
13.5,6.167904359985975
14.500000000000002,2.7235982438700095
14.500000000000002,2.6910875520771294
15.5,-2.3316959023306363
15.5,-2.395749416139539
16.5,-8.9683741941276
16.5,-8.884254539541237
17.5,-5.081767810939817
17.5,-4.85145968588726
18.5,-0.2875998457315564
18.5,-0.14267611391801302
19.5,2.5763596086774876
19.5,2.680530829949217
20.5,4.404646030999675
20.5,4.483768675717927
21.5,5.601905201851709
21.5,5.661446605954969
22.5,6.36065763192839
22.5,6.402202247006822
23.5,6.782365511432053
23.5,6.805623904946534
24.5,6.923097488064705
24.5,6.926623879118182
25.5,6.812695800918619
25.5,6.79411652618578
26.5,6.463194178377445
26.5,6.41917652535669
27.5,5.871911132534265
27.5,5.797910128409836
28.500000000000004,5.020917637610678
28.500000000000004,4.910623098517266
29.500000000000004,3.872579515047301
29.500000000000004,3.716828469631989
30.5,2.3585672306423557
30.5,2.1431383012892855
31.5,0.35453122868768683
31.5,0.055298436218021996
32.5,-2.383440876520365
32.5,-2.812222407293477
33.5,-6.40274246839295
33.5,-7.05421541106133
34.5,-12.945087959451628
34.5,-13.682065922711
35.5,-14.237040515381153
35.5,-12.818947508026401
36.5,-7.703356482730345
36.5,-6.936878690894673
37.5,-3.8132518571268963
37.5,-3.371841563778595
38.5,-1.3229071238541013
38.5,-1.0475039773207557
39.5,0.39263800217023737
39.5,0.5626940877410174
40.5,1.608472145505385
40.5,1.7010241081066981
41.5,2.465648450258786
41.5,2.494969492349022
42.5,3.0447731230717183
42.5,3.0184494839264797
43.5,3.3952390704283815
43.5,3.3170324153096775
44.5,3.5484917958106528
44.5,3.4196282759774164
45.5,3.5246430798117725
45.5,3.344373575965758
46.5,3.3359535030328895
46.5,3.1017021187013083
47.5,2.9886638339354974
47.5,2.6958694967639962
48.5,2.483834867809924
48.5,2.125474027356521
49.5,1.8174782030423076
49.5,1.3831491777144338
50.5,0.9800538806867848
50.5,0.45434165322845543
51.5,-0.04473090401874488
51.5,-0.6852092852418347
52.50000000000001,-1.2819894199625543
52.50000000000001,-2.074175401572787
53.5,-2.7687034855414465
53.5,-3.774407248064576
54.5,-4.556947759511293
54.5,-5.887660654437297
55.5,-6.710959896424866
55.5,-8.586634528308858
56.5,-9.261912582274451
56.5,-12.144400053539993
57.5,-11.947407881284548
57.5,-16.491784448726246
58.5,-13.47321006821997
58.5,-17.537714343818372
59.5,-12.52409975322931
59.5,-13.943689926208744
60.5,-10.451911527081796
60.5,-10.776722849072879
61.50000000000001,-8.519862592352146
61.50000000000001,-8.5211762893215
62.50000000000001,-6.97364732329171
62.50000000000001,-6.889872985319752
63.50000000000001,-5.775823331985876
63.50000000000001,-5.684183125210862
64.5,-4.857786387080508
64.5,-4.785117876467723
65.5,-4.163019681938433
65.5,-4.118627204032591
66.5,-3.6495952451656044
66.5,-3.6361313629689422
67.5,-3.2867745872851764
67.5,-3.304234823590967
68.5,-3.051779131586538
68.5,-3.0990850332534596
69.5,-2.927466505875582
69.5,-3.003122658209352
70.5,-2.9007536714550453
70.5,-3.0031223189905187
71.5,-2.961556452699538
71.5,-3.088964976169479
72.5,-3.10207282297647
72.5,-3.252844596891675
73.5,-3.3162950580172135
73.5,-3.488743297380257
74.5,-3.5996760716253187
74.5,-3.792078109755286
75.5,-3.948900548533649
75.5,-4.159459655838763
76.5,-4.361726220889021
76.5,-4.588522761720361
77.5,-4.836867538288096
77.5,-5.077798025408024
78.5,-5.373893793044586
78.5,-5.626593869308008
79.5,-5.973104915931185
79.5,-6.234849830952507
80.5,-6.635325798107054
80.5,-6.902899461438144
81.5,-7.361513794718826
81.5,-7.631035847252305
82.5,-8.151984469189518
82.5,-8.418687386610378
83.5,-9.004894846147518
83.5,-9.26285984959559
84.5,-9.913341476446362
84.5,-10.155259116272909
85.5,-10.86004763676357
85.5,-11.077224991595482
86.5,-11.808472423834619
86.5,-11.991654635056486
87.5,-12.690729415020424
87.5,-12.832802473635208
88.5,-13.399391853490947
88.5,-13.500852977551611
89.5,-13.802976613153062
89.5,-13.87792837491592
90.5,-13.802976613153062
90.5,-13.877928374915918
91.5,-13.399391853490952
91.5,-13.500852977551617
92.5,-12.690729415020432
92.5,-12.832802473635212
93.5,-11.808472423834608
93.5,-11.991654635056486
94.5,-10.860047636763579
94.5,-11.077224991595486
95.5,-9.913341476446353
