theta_deg,phi_deg,dir_julia_imp_dBi,in_target
0.5,2.5,19.167923409018638,false
0.5,7.499999999999999,19.16781267516726,false
0.5,12.5,19.16763761098608,false
0.5,17.5,19.16740350045064,false
0.5,22.5,19.167117410681712,false
0.5,27.5,19.16678798278531,false
0.5,32.5,19.166425175516938,false
0.5,37.5,19.166039968809116,false
0.5,42.49999999999999,19.165644035432543,false
0.5,47.5,19.16524939013046,false
0.5,52.5,19.16486802642766,false
0.5,57.5,19.1645115519232,false
0.5,62.49999999999999,19.164190833182627,false
0.5,67.5,19.16391566131027,false
0.5,72.5,19.16369444887572,false
0.5,77.5,19.16353396807566,false
0.5,82.5,19.163439138838363,false
0.5,87.5,19.163412874048444,false
0.5,92.5,19.16345598723321,false
0.5,97.5,19.16356716597501,false
0.5,102.5,19.163743012083422,false
0.5,107.49999999999999,19.16397814727089,false
0.5,112.5,19.164265380828446,false
0.5,117.5,19.164595933692297,false
0.5,122.49999999999999,19.16495971141924,false
0.5,127.50000000000001,19.165345617025206,false
0.5,132.5,19.16574189344209,false
0.5,137.5,19.166136484550933,false
0.5,142.5,19.166517403363454,false
0.5,147.49999999999997,19.166873095940886,false
0.5,152.5,19.16719279002962,false
0.5,157.5,19.167466818113407,false
0.5,162.5,19.16768690558044,false
0.5,167.5,19.1678464159217,false
0.5,172.5,19.167940546260663,false
0.5,177.5,19.167966468010157,false
0.5,182.5,19.167923409018638,false
0.5,187.5,19.16781267516727,false
0.5,192.49999999999997,19.167637610986088,false
0.5,197.5,19.167403500450646,false
0.5,202.5,19.16711741068172,false
0.5,207.5,19.16678798278531,false
0.5,212.5,19.166425175516945,false
0.5,217.5,19.166039968809127,false
0.5,222.5,19.165644035432546,false
0.5,227.5,19.165249390130455,false
0.5,232.5,19.164868026427655,false
0.5,237.49999999999997,19.1645115519232,false
0.5,242.49999999999997,19.164190833182627,false
0.5,247.49999999999997,19.163915661310263,false
0.5,252.50000000000003,19.163694448875724,false
0.5,257.5,19.16353396807567,false
0.5,262.5,19.163439138838363,false
0.5,267.5,19.163412874048447,false
0.5,272.5,19.163455987233213,false
0.5,277.5,19.16356716597502,false
0.5,282.5,19.16374301208342,false
0.5,287.5,19.163978147270882,false
0.5,292.5,19.16426538082845,false
0.5,297.5,19.164595933692294,false
0.5,302.5,19.164959711419243,false
0.5,307.5,19.165345617025206,false
0.5,312.5,19.165741893442082,false
0.5,317.5,19.166136484550936,false
0.5,322.5,19.166517403363446,false
0.5,327.5,19.16687309594089,false
0.5,332.5,19.167192790029624,false
0.5,337.5,19.16746681811341,false
0.5,342.49999999999994,19.16768690558044,false
0.5,347.5,19.167846415921698,false
0.5,352.5,19.16794054626066,false
0.5,357.5,19.16796646801015,false
1.5000000000000002,2.5,19.063383505269037,false
1.5000000000000002,7.499999999999999,19.062401586601744,false
1.5000000000000002,12.5,19.060849423828568,false
1.5000000000000002,17.5,19.0587713110368,false
1.5000000000000002,22.5,19.05622663022598,false
1.5000000000000002,27.5,19.053288498662603,false
1.5000000000000002,32.5,19.050042052361157,false
1.5000000000000002,37.5,19.046582357364716,false
1.5000000000000002,42.49999999999999,19.043011952474394,false
1.5000000000000002,47.5,19.039438046084815,false
1.5000000000000002,52.5,19.035969414367493,false
1.5000000000000002,57.5,19.03271307582952,false
1.5000000000000002,62.49999999999999,19.02977084521598,false
1.5000000000000002,67.5,19.027235894444633,false
1.5000000000000002,72.5,19.025189466459317,false
1.5000000000000002,77.5,19.023697896739876,false
1.5000000000000002,82.5,19.02281009474247,false
1.5000000000000002,87.5,19.022555622933847,false
1.5000000000000002,92.5,19.022943484786786,false
1.5000000000000002,97.5,19.02396169688099,false
1.5000000000000002,102.5,19.025577676993194,false
1.5000000000000002,107.49999999999999,19.027739433479386,false
1.5000000000000002,112.5,19.030377495471434,false
1.5000000000000002,117.5,19.03340748248463,false
1.5000000000000002,122.49999999999999,19.036733179479484,false
1.5000000000000002,127.50000000000001,19.040249961829318,false
1.5000000000000002,132.5,19.043848405394257,false
1.5000000000000002,137.5,19.047417920047604,false
1.5000000000000002,142.5,19.050850259310984,false
1.5000000000000002,147.49999999999997,19.054042781913928,false
1.5000000000000002,152.5,19.056901370011154,false
1.5000000000000002,157.5,19.059342940002214,false
1.5000000000000002,162.5,19.061297511973887,false
1.5000000000000002,167.5,19.062709829735155,false
1.5000000000000002,172.5,19.063540543005242,false
1.5000000000000002,177.5,19.06376697529908,false
1.5000000000000002,182.5,19.063383505269048,false
1.5000000000000002,187.5,19.06240158660175,false
1.5000000000000002,192.49999999999997,19.06084942382857,false
1.5000000000000002,197.5,19.058771311036793,false
1.5000000000000002,202.5,19.056226630225986,false
1.5000000000000002,207.5,19.053288498662603,false
1.5000000000000002,212.5,19.050042052361157,false
1.5000000000000002,217.5,19.04658235736472,false
1.5000000000000002,222.5,19.043011952474394,false
1.5000000000000002,227.5,19.039438046084825,false
1.5000000000000002,232.5,19.035969414367496,false
1.5000000000000002,237.49999999999997,19.032713075829538,false
1.5000000000000002,242.49999999999997,19.029770845215985,false
1.5000000000000002,247.49999999999997,19.027235894444626,false
1.5000000000000002,252.50000000000003,19.025189466459324,false
1.5000000000000002,257.5,19.02369789673987,false
1.5000000000000002,262.5,19.02281009474248,false
1.5000000000000002,267.5,19.022555622933844,false
1.5000000000000002,272.5,19.022943484786776,false
1.5000000000000002,277.5,19.023961696880985,false
1.5000000000000002,282.5,19.02557767699318,false
1.5000000000000002,287.5,19.027739433479386,false
1.5000000000000002,292.5,19.030377495471424,false
