theta_deg,dir_bempp_imp_dBi
1.5,19.381470054880218
1.5,19.376704579054238
4.5,18.136743523230095
4.5,18.11761353674897
7.499999999999999,15.400192087717599
7.499999999999999,15.358263609383345
10.499999999999998,10.378903403881717
10.499999999999998,10.291102422765912
13.5,-0.9733997147157036
13.5,-1.2959533539030836
16.499999999999996,-1.0403638557862336
16.499999999999996,-0.7461098969338484
19.5,5.143427706639758
19.5,5.289246055127776
22.5,5.745903001516193
22.5,5.583701950659732
25.499999999999996,2.8726592687810797
25.499999999999996,3.156484585202107
28.5,-4.52140091541302
28.5,-3.720079150409811
31.5,-12.203282221315234
31.5,-15.934264138293752
34.5,-1.778500618911751
34.5,-2.868396993240559
37.49999999999999,0.8130322758575181
37.49999999999999,-0.06033532856449148
40.5,0.7381895529193271
40.5,-0.19251620453728813
43.5,-2.517697679805938
43.5,-1.300244035127558
46.49999999999999,-5.745275808727866
46.49999999999999,-7.833811145229216
49.5,-16.060183997835423
49.5,-20.736099064287043
52.5,-13.681614597723408
52.5,-10.074982742041033
55.49999999999999,-6.932413594423878
55.49999999999999,-5.1411038994160805
58.5,-4.294503619655858
58.5,-3.0305611909822416
61.49999999999999,-3.2364862163126142
61.49999999999999,-2.2154539798789865
64.5,-2.1743858037328705
64.5,-3.0494210664367993
67.5,-3.4155726908771644
67.5,-2.6531215448343124
70.49999999999999,-4.1496045241661985
70.49999999999999,-3.497980380153876
73.5,-5.120281750640175
73.5,-4.599024741528792
76.5,-6.2175487703448065
76.5,-5.862694640839364
79.49999999999999,-7.333957369692302
79.49999999999999,-7.191288840599952
82.5,-8.35250366422978
82.5,-8.460726329994312
85.5,-9.143477568219376
85.5,-9.499873370399776
88.49999999999999,-10.100326207674296
88.49999999999999,-9.580513396735377
91.5,-9.580513396735377
91.5,-10.100326207674296
94.5,-9.143477568219378
94.5,-9.499873370399776
97.49999999999999,-8.352503664229786
97.49999999999999,-8.460726329994325
100.5,-7.333957369692317
100.5,-7.191288840599968
103.5,-6.217548770344815
103.5,-5.862694640839372
106.49999999999999,-5.12028175064018
106.49999999999999,-4.599024741528803
109.5,-3.4979803801538885
109.5,-4.149604524166203
112.5,-3.4155726908771666
112.5,-2.6531215448343133
115.49999999999999,-3.049421066436797
115.49999999999999,-2.174385803732874
118.49999999999999,-3.236486216312609
118.49999999999999,-2.2154539798789816
121.5,-4.29450361965585
121.5,-3.030561190982234
124.49999999999999,-6.9324135944238465
124.49999999999999,-5.141103899416059
127.49999999999999,-13.681614597723328
127.49999999999999,-10.074982742041014
130.5,-20.736099064287078
130.5,-16.06018399783548
133.5,-7.833811145229244
133.5,-5.745275808727883
136.49999999999997,-1.3002440351275826
136.49999999999997,-2.517697679805976
139.5,0.7381895529193248
139.5,-0.19251620453729368
142.5,0.8130322758575261
142.5,-0.06033532856447975
145.49999999999997,-1.7785006189117136
145.49999999999997,-2.868396993240518
148.5,-12.203282221315172
148.5,-15.934264138293672
151.5,-4.521400915413081
151.5,-3.720079150409856
154.49999999999997,3.1564845852020653
154.49999999999997,2.872659268781042
157.5,5.583701950659727
157.5,5.745903001516189
160.5,5.14342770663977
160.5,5.289246055127787
163.49999999999997,-1.0403638557861175
163.49999999999997,-0.7461098969337431
166.5,-0.9733997147157597
166.5,-1.295953353903137
169.5,10.378903403881685
169.5,10.291102422765878
172.49999999999997,15.40019208771757
172.49999999999997,15.358263609383316
175.5,18.13674352323009
175.5,18.11761353674897
178.5,19.381470054880214
178.5,19.376704579054234
