iter,J,gnorm
1,0.00022654563448481872,2.5113029120576415e-7
2,0.00022654563448418807,2.511302912046576e-7
3,0.0001298386873923563,1.0688280883901989e-7
4,9.257529173613043e-5,6.434990125828866e-8
5,6.040555931061222e-5,3.399724535183499e-8
6,4.0794303045823234e-5,1.8913475727821432e-8
7,2.721617385592065e-5,1.0326875773291364e-8
8,1.8261035034805745e-5,5.683544598438056e-9
