case,freq_GHz,theta_inc_deg,J_opt_pct,J_pec_pct,gain_target_dB,target_theta_deg,peak_theta_opt_deg,peak_opt_dBi
f_-2pct,2.94,0.0,10.019253556315617,0.26903749589530385,20.333710888038816,29.500000000000004,28.500000000000004,15.3564037218188
f_nom,3.0,0.0,13.248761316530782,0.2457357406071218,22.667443781065884,29.500000000000004,27.5,16.02108668911561
f_+2pct,3.06,0.0,4.773261734846203,0.23102152502174575,19.573814723793905,29.500000000000004,1.5000000000000002,15.735405947648367
ang_-2deg,3.0,-2.0,11.800422439074842,0.15406080653371634,25.23823959905488,29.500000000000004,25.5,16.231669696967167
ang_+2deg,3.0,2.0,12.580695185871901,0.5323691264169604,14.682847155266227,29.500000000000004,30.5,15.563442324347033
