theta_deg,dir_bempp_imp_dBi
96.5,-22.498248807054438
97.5,-20.839065645082798
97.5,-20.376037192577336
98.5,-18.935845018147226
98.5,-18.45251841690685
99.5,-16.701764657288052
99.5,-17.197920581288603
100.50000000000001,-15.101041132214368
100.50000000000001,-15.604997242009288
101.5,-14.139601895488457
101.5,-13.631384179470354
102.5,-12.787205397406536
102.5,-12.277318026391594
103.5,-11.535940177539823
103.5,-11.026351827686634
104.5,-10.376224055259858
104.5,-9.868479275445667
105.5,-8.79574808295039
105.5,-9.300402099225485
106.5,-8.30244105144843
106.5,-7.801910853411123
107.5,-7.377681710654855
107.5,-6.882150476310619
108.5,-6.522644745075611
108.5,-6.03286878718547
109.50000000000001,-5.734883053538993
109.50000000000001,-5.251527793985963
110.5,-5.012874331256815
110.5,-4.536534904002647
111.5,-3.887166055530707
111.5,-4.3559490688092755
112.5,-3.764251145895941
112.5,-3.3035231149330824
113.5,-3.2387303153528113
113.5,-2.786524351028086
114.5,-2.7811683018335485
114.5,-2.337929430978181
115.49999999999999,-2.394243235457335
115.49999999999999,-1.9604035205187451
116.5,-1.6576292284336107
116.5,-2.0816411811058573
117.5,-1.8482294147955456
117.5,-1.4344811441628957
118.50000000000001,-1.700315241797414
118.50000000000001,-1.297287010706232
119.5,-1.6460290947609142
119.5,-1.254214745029322
120.50000000000001,-1.6958962440451666
120.50000000000001,-1.3158504945522425
121.5,-1.4960795646425415
121.5,-1.8637074030516543
122.50000000000001,-1.8134702490589139
122.50000000000001,-2.1678853657520514
123.5,-2.633719001337419
123.5,-2.2935375220454888
124.49999999999999,-3.297210872407081
124.49999999999999,-2.972644409327933
125.5,-4.212165301231186
125.5,-3.905192958351797
126.5,-5.464454633415389
126.5,-5.178100081966258
127.50000000000001,-6.943658847545185
127.50000000000001,-7.204432429658436
128.5,-9.734845555107416
128.5,-9.508313134743506
129.5,-13.82947290329634
129.5,-13.649154006164677
130.5,-22.832333577783626
130.5,-22.417294556690454
131.5,-21.926277144936506
131.5,-20.559500875336518
132.5,-12.853092099094868
132.5,-12.269611260588844
133.5,-7.934587731410292
133.5,-8.378268989468147
134.5,-5.047076423269916
134.5,-5.430465788214976
135.5,-3.2794053557653466
135.5,-2.932267381029094
136.5,-1.6407515611638495
136.5,-1.3195412002684308
137.5,-0.3775071479623616
137.5,-0.0768409827525686
138.5,0.5833600228356056
138.5,0.8666713875122006
139.5,1.281459605337492
139.5,1.54949315521802
140.5,1.9900383919025675
140.5,1.7358206483232477
141.5,1.9502725061795276
141.5,2.1917794334695646
142.5,1.9147269823142532
142.5,2.14442138326134
143.5,1.6030784600180756
143.5,1.8217547473430626
144.5,0.9665527055056031
144.5,1.1749941390835263
145.5,0.117283144946432
145.5,-0.08182228820835732
146.5,-1.7049233129040564
146.5,-1.5138705319882972
147.5,-4.24964574991929
147.5,-4.0641265137073015
148.5,-8.674477697252799
148.5,-8.486192801399536
149.5,-20.243630991939465
149.5,-19.933923398941655
150.5,-13.242856112163219
150.5,-13.36827628032498
151.5,-5.528862915723678
151.5,-5.405676797281914
152.5,-1.4080284720363598
152.5,-1.2892814312575904
153.5,1.3292629741089048
153.5,1.4420592192674593
154.5,3.294045992260028
154.5,3.400382806533058
155.5,4.731467380805703
155.5,4.831230813698842
156.5,5.85082794081551
156.5,5.757564734997179
157.5,6.427823843925844
157.5,6.514768857859017
158.5,6.761248185503615
158.5,6.842138167602583
159.5,6.747342758998366
159.5,6.822522499917964
160.5,6.3422185916220055
160.5,6.41214428001335
161.5,5.5157456494364085
161.5,5.450420379733728
162.5,3.8733683236435033
162.5,3.935191629193336
163.5,1.1432132720384434
163.5,1.2039861052800416
164.5,-4.2825725456637525
164.5,-4.213124792234248
165.5,-30.7410143598115
165.5,-30.21451285800218
166.5,-2.4746729084220966
166.5,-2.487362851041955
167.5,3.883296727290435
167.5,3.8648103180482023
168.5,7.731918987557339
168.5,7.750037778806426
169.5,10.519563892772013
169.5,10.535851093843352
170.5,12.67703307625146
170.5,12.691056273741577
171.5,14.406263839908087
171.5,14.417949609796278
172.5,15.824797312079479
172.5,15.81536346265757
173.5,16.968722695536854
173.5,16.976072225413933
174.5,17.90745170634053
174.5,17.912931882379468
175.5,18.65899710780121
175.5,18.66285266424225
176.5,19.242139577650565
176.5,19.244635310523726
177.5,19.669777284300057
177.5,19.67119233353136
178.5,19.950544868770038
178.5,19.951169171963304
179.5,20.08976639013138
179.5,20.089898393806827
