theta_deg,dir_bempp_imp_dBi
0.5,17.875215175861406
0.5,17.870368196601618
1.5000000000000002,18.454582472306043
1.5000000000000002,18.441525820882546
2.5,18.877964941960393
2.5,18.859054252305267
3.5,19.15436176313028
3.5,19.1323337926019
4.5,19.289504475762662
4.5,19.26742337163693
5.5,19.26763960784479
5.5,19.286414786359366
6.5,19.14567869806641
6.5,19.133847102405937
7.499999999999999,18.86549391675636
7.499999999999999,18.864520148179423
8.5,18.441500344257044
8.5,18.455588184885933
9.5,17.86635997090558
9.5,17.900033982696975
10.5,17.187159231583962
10.5,17.12899713123929
11.5,16.301345372599844
11.5,16.21332081485224
12.5,15.09608475320187
12.5,15.219976610754047
13.5,13.743201991129562
13.5,13.909863561119346
14.500000000000002,12.103080279272454
14.500000000000002,12.32077725062964
15.5,10.093745742764728
15.5,10.372943435047814
16.5,7.57588689617968
16.5,7.930717348734095
17.5,4.741985979076038
17.5,4.292192859533918
18.5,-0.2487292109365915
18.5,0.30461801308385583
19.5,-5.980598001139351
19.5,-5.675495613439489
20.5,-4.847142367405169
20.5,-5.133833932275377
21.5,-0.5434317855476108
21.5,-0.4741779801048687
22.5,2.479275610747703
22.5,2.186555199184224
23.5,3.853820805338928
23.5,4.302182062437353
24.5,4.8433051312141995
24.5,5.422795317494521
25.5,5.349629863461384
25.5,6.051949412414661
26.5,5.475230040904617
26.5,6.299305215544803
27.5,6.2229641485652625
27.5,5.2743556818339234
28.500000000000004,4.772055993204512
28.500000000000004,5.850346165019284
29.500000000000004,3.972085388155367
29.500000000000004,5.18669362526734
30.5,2.8590342988537003
30.5,4.216973173786763
31.5,1.3968824281005738
31.5,2.902712545351767
32.5,-0.473216218481646
32.5,1.1733038412630323
33.5,-1.0874394671811956
33.5,-2.8213005080072517
34.5,-5.616373890175275
34.5,-4.030196994223366
35.5,-8.142405122862845
35.5,-7.5012079071162425
36.5,-8.398054914162653
36.5,-9.127951171031839
37.5,-6.508931056954193
37.5,-6.812627038384731
38.5,-3.9391991279932785
38.5,-4.436946117258314
39.5,-2.806661661286616
39.5,-1.7420356234024488
40.5,-1.6236562206752807
40.5,-0.15204847552593795
41.5,-0.8071795651259507
41.5,0.9845329076614142
42.5,-0.28746017703018173
42.5,1.7753773073879455
43.5,2.290162915782076
43.5,-0.013873988037696443
44.5,2.574190555227852
44.5,0.0494032622021558
45.5,-0.07204555782274412
45.5,2.6570924209390547
46.5,-0.35949349616773013
46.5,2.557895282840894
47.5,-0.798540596397974
47.5,2.287913031079726
48.5,-1.376936108444651
48.5,1.8523551668206744
49.5,-2.0822286540242545
49.5,1.2511561020766406
50.5,0.4793654496177757
50.5,-2.8986496143439986
51.5,-3.802545978544574
51.5,-0.4725058751269119
52.50000000000001,-4.755874910724681
52.50000000000001,-1.617329169308401
53.5,-5.698634383877357
53.5,-2.966997433620262
54.5,-6.545113437697064
54.5,-4.517864105859265
55.5,-6.207092954746508
55.5,-7.194837352068866
56.5,-7.566868748630603
56.5,-7.806798944592742
57.5,-7.641554738657853
57.5,-8.809373295164933
58.5,-7.470464460165966
58.5,-8.717408303616875
59.5,-7.143312912045578
59.5,-7.700289074365768
60.5,-6.336322163181194
60.5,-6.7464263880084925
61.50000000000001,-6.342026521638956
61.50000000000001,-4.998968721277462
62.50000000000001,-5.967209863830044
62.50000000000001,-3.8179053397937004
63.50000000000001,-5.640628698393626
63.50000000000001,-2.8140717200366905
64.5,-5.369408478151674
64.5,-1.9737942083945823
65.5,-5.1541064031893455
65.5,-1.2756862649080372
66.5,-0.698982107635479
66.5,-4.99179414888891
67.5,-4.87784905253221
67.5,-0.22563255204494453
68.5,-4.806957780871299
68.5,0.15954870790494485
69.5,-4.773664889219226
69.5,0.46927209236283524
70.5,-4.77266451251893
70.5,0.7142397891436059
71.5,0.9035619085933346
71.5,-4.798948206165889
72.5,-4.847872026402645
72.5,1.0450939628075897
73.5,-4.91517778416875
73.5,1.1457006686974898
74.5,-4.996987892079739
74.5,1.2114587916445194
75.5,-5.089784859853993
75.5,1.2478116523269631
76.5,1.2596857448074652
76.5,-5.190382107745809
77.5,1.2515775609192685
77.5,-5.295890544970164
78.5,-5.403684256180341
78.5,1.2276167400712006
79.5,-5.511368050068852
79.5,1.1916101606563032
80.5,-5.616749205633198
80.5,1.1470705121295688
81.5,-5.717815317435228
81.5,1.0972321552535627
82.5,1.045056613090366
82.5,-5.812719605594453
83.5,-5.899774399542318
83.5,0.9932297671754169
84.5,-5.977452751949347
