theta_deg,dir_julia_imp_dBi
0.5,20.033851585262795
0.5,20.0339023229012
1.5000000000000002,19.89233470025338
1.5000000000000002,19.892792269643987
2.5,19.60681805706737
2.5,19.60809430546919
3.5,19.17210385619777
3.5,19.17462091564245
4.5,18.579766340208707
4.5,18.58396241929104
5.5,17.817241241129842
5.5,17.82357722171193
6.5,16.86628454654371
6.5,16.875251615816996
7.499999999999999,15.700337203660599
7.499999999999999,15.712465400018461
8.5,14.279829234529158
8.5,14.295695250662849
9.5,12.543238205490756
9.5,12.563464465364858
10.5,10.388376517845902
10.5,10.413585516052347
11.5,7.627584560134189
11.5,7.658124776822371
12.5,3.8562218291178314
12.5,3.8904157522379297
13.5,-2.0940199569538818
13.5,-2.0787851269452267
14.500000000000002,-15.728605007502921
14.500000000000002,-17.182041525600713
15.5,-5.37309652117809
15.5,-5.505701208975552
16.5,0.19302303214816127
16.5,0.1878314311095217
17.5,2.953175473510827
17.5,2.982542019869203
18.5,4.513158565302643
18.5,4.563054446814194
19.5,5.3647189518543446
19.5,5.431626301460342
20.5,5.716131340171028
20.5,5.799521660973969
21.5,5.668012189558144
21.5,5.76868491190377
22.5,5.268117881582062
22.5,5.387742234171996
23.5,4.531200960317154
23.5,4.67224335569631
24.5,3.44463506015868
24.5,3.6104856282748923
25.5,1.9645949046412123
25.5,2.1598687143960063
26.5,-7.153869558303698e-5
26.5,0.23094969698351261
27.5,-2.630943789783537
27.5,-2.3557910652966867
28.500000000000004,-6.3232583325870815
28.500000000000004,-5.997585254766341
29.500000000000004,-12.090771095038766
29.500000000000004,-11.790460717251044
30.5,-19.488983507096435
30.5,-21.250178052112044
31.5,-13.093330250106813
31.5,-13.601292769105012
32.5,-8.602392868648126
32.5,-8.618105307424873
33.5,-6.151549115838904
33.5,-5.971838395589932
34.5,-4.759509700782003
34.5,-4.441283931024454
35.5,-4.046311982668161
35.5,-3.594988216894868
36.5,-3.841446879150544
36.5,-3.2394481453782054
37.5,-4.064524685650541
37.5,-3.2747916482733848
38.5,-4.682316471600182
38.5,-3.643355732835924
39.5,-5.6877393826846685
39.5,-4.303056268424487
40.5,-7.075020476697017
40.5,-5.202013322488865
41.5,-8.767416442719501
41.5,-6.238172445735176
42.5,-10.396453753746586
42.5,-7.1976629750242305
43.5,-11.038945042597419
43.5,-7.7351722577724615
44.5,-10.08930978396463
44.5,-7.568379319155999
45.5,-8.30978959411844
45.5,-6.773493450417797
46.5,-6.523858058584909
46.5,-5.682764136842734
47.5,-5.006034923690792
47.5,-4.573857226327833
48.5,-3.784911273372999
48.5,-3.5825472175345654
49.5,-2.8286635270355873
49.5,-2.754276823840147
50.5,-2.0989155382042117
50.5,-2.094454841232454
51.5,-1.5627245372515857
51.5,-1.5939048880340634
52.50000000000001,-1.193894770790919
52.50000000000001,-1.2394589068449635
53.5,-0.9719619493612295
53.5,-1.0179555778824259
54.5,-0.8809326999991991
54.5,-0.9175723867469322
55.5,-0.9082356157948214
55.5,-0.9281282387237556
56.5,-1.0439291275783829
56.5,-1.0410122852017536
57.5,-1.2801206456779939
57.5,-1.248996544776085
58.5,-1.6105430654617414
58.5,-1.5460298457362849
59.5,-2.0302444648499507
59.5,-1.9270460914983543
60.5,-2.5353577121910016
60.5,-2.387793699347777
61.50000000000001,-3.122924854894327
61.50000000000001,-2.9246821867412636
62.50000000000001,-3.790756035277396
62.50000000000001,-3.534636688845926
63.50000000000001,-4.537304289763598
63.50000000000001,-4.214947468670016
64.5,-5.361535603436398
64.5,-4.963097108952844
65.5,-6.262766936124624
65.5,-5.776541699493871
66.5,-7.240431383280727
66.5,-6.6524128971031296
67.5,-8.293705332768257
67.5,-7.587094619829614
68.5,-9.42089166659187
68.5,-8.57561222069431
69.5,-10.618389320391888
69.5,-9.610758561491531
70.5,-11.878993061797969
70.5,-10.681886689883102
71.5,-13.189190784097216
71.5,-11.773361593646449
72.5,-14.525194702110241
72.5,-12.862857511845078
73.5,-15.848034224783714
73.5,-13.920106312429512
74.5,-17.099833238065997
74.5,-14.907339962871337
75.5,-18.20660011485502
75.5,-15.783112837018011
76.5,-19.094379746610223
76.5,-16.51038099196939
77.5,-19.71765051297834
77.5,-17.066808579950834
78.5,-20.081679498627963
78.5,-17.45194800770468
79.5,-20.238065947926906
79.5,-17.6864591114473
80.5,-20.25785609602375
80.5,-17.803927161514157
81.5,-20.20547287900703
81.5,-17.84063134499574
82.5,-20.126865482249876
82.5,-17.828191896738094
83.5,-20.049330437175776
83.5,-17.790490872051457
84.5,-19.986031937459046
84.5,-17.743702618109836
85.5,-19.94091651472521
85.5,-17.697770941443622
86.5,-19.912600081261417
86.5,-17.65820188668198
87.5,-19.897152921144237
87.5,-17.627647598518507
88.5,-19.890054573357375
88.5,-17.607124682059684
89.5,-19.88755390021035
89.5,-17.596868541838575
90.5,-19.88755390021035
90.5,-17.596868541838575
91.5,-19.890054573357375
91.5,-17.607124682059684
92.5,-19.89715292114424
92.5,-17.627647598518507
93.5,-19.912600081261388
93.5,-17.658201886681915
94.5,-19.94091651472521
94.5,-17.697770941443622
95.5,-19.986031937459025
95.5,-17.743702618109793
96.5,-20.049330437175776
96.5,-17.790490872051457
97.5,-20.12686548224988
97.5,-17.828191896738094
98.5,-20.20547287900703
98.5,-17.84063134499574
99.5,-20.25785609602375
99.5,-17.803927161514157
100.50000000000001,-20.238065947926902
100.50000000000001,-17.68645911144729
101.5,-20.081679498627963
101.5,-17.451948007704672
102.5,-19.71765051297834
102.5,-17.066808579950834
103.5,-19.094379746610223
103.5,-16.510380991969424
104.5,-18.206600114855032
104.5,-15.783112837018011
105.5,-17.099833238065997
105.5,-14.907339962871344
106.5,-15.84803422478372
106.5,-13.92010631242952
107.5,-14.525194702110227
107.5,-12.862857511845071
108.5,-13.189190784097203
108.5,-11.773361593646447
109.50000000000001,-11.878993061797944
109.50000000000001,-10.681886689883084
110.5,-10.618389320391914
110.5,-9.610758561491558
111.5,-9.420891666591867
111.5,-8.57561222069431
112.5,-8.293705332768264
112.5,-7.587094619829621
113.5,-7.240431383280727
113.5,-6.652412897103136
114.5,-6.262766936124628
114.5,-5.776541699493869
115.49999999999999,-5.3615356034364146
115.49999999999999,-4.963097108952868
116.5,-4.537304289763578
116.5,-4.214947468670003
117.5,-3.790756035277399
117.5,-3.5346366888459246
118.50000000000001,-3.1229248548943245
118.50000000000001,-2.924682186741261
119.5,-2.5353577121910083
119.5,-2.3877936993477746
120.50000000000001,-2.030244464849953
120.50000000000001,-1.9270460914983534
121.5,-1.6105430654617539
121.5,-1.5460298457362915
122.50000000000001,-1.2801206456779912
122.50000000000001,-1.2489965447760882
123.5,-1.0439291275783829
123.5,-1.0410122852017536
124.49999999999999,-0.9082356157948125
124.49999999999999,-0.9281282387237556
125.5,-0.8809326999991991
125.5,-0.9175723867469322
126.5,-0.9719619493612185
126.5,-1.0179555778824165
127.50000000000001,-1.193894770790919
127.50000000000001,-1.2394589068449635
128.5,-1.5627245372515775
128.5,-1.5939048880340607
129.5,-2.0989155382042233
129.5,-2.0944548412324644
130.5,-2.8286635270355847
130.5,-2.754276823840147
131.5,-3.7849112733730013
131.5,-3.582547217534566
132.5,-5.006034923690792
132.5,-4.573857226327833
133.5,-6.52385805858488
133.5,-5.682764136842713
134.5,-8.30978959411844
134.5,-6.773493450417797
135.5,-10.08930978396461
135.5,-7.568379319155985
136.5,-11.038945042597419
136.5,-7.7351722577724615
137.5,-10.396453753746616
137.5,-7.197662975024227
138.5,-8.767416442719481
138.5,-6.238172445735164
139.5,-7.0750204766970395
139.5,-5.202013322488886
140.5,-5.687739382684657
140.5,-4.303056268424471
141.5,-4.6823164716001795
141.5,-3.6433557328359205
142.5,-4.064524685650549
142.5,-3.2747916482733848
143.5,-3.841446879150544
143.5,-3.2394481453782054
144.5,-4.046311982668155
