theta_deg,phi_deg,dir_pec_dBi,dir_opt_dBi,in_target
0.5,2.5,19.851725141089375,12.410008233572906,false
0.5,7.499999999999999,19.851722463645,12.401091221631258,false
0.5,12.5,19.851715385932323,12.39017493036882,false
0.5,17.5,19.851704091545866,12.377343052459121,false
0.5,22.5,19.85168888122573,12.362694161297604,false
0.5,27.5,19.85167016883786,12.346340907882372,false
0.5,32.5,19.85164847462353,12.328409099305551,false
0.5,37.5,19.851624415220737,12.309036669215773,false
0.5,42.49999999999999,19.85159869005769,12.288372551834447,false
0.5,47.5,19.851572063912958,12.266575472089627,false
0.5,52.5,19.85154534571268,12.2438126651395,false
0.5,57.5,19.85151936396335,12.220258538967336,false
0.5,62.49999999999999,19.851494939565384,12.196093293820665,false
0.5,67.5,19.851472857076303,12.17150151203394,false
0.5,72.5,19.851453835754125,12.146670731226319,false
0.5,77.5,19.85143850187816,12.121790013030678,false
0.5,82.5,19.851427363891048,12.097048518440715,false
0.5,87.5,19.851420791819955,12.072634099626981,false
0.5,92.5,19.851419002221462,12.048731916758923,false
0.5,97.5,19.851422049566956,12.025523087079357,false
0.5,102.5,19.85142982457607,12.003183372309003,false
0.5,107.49999999999999,19.85144205954999,11.981881909514374,false
0.5,112.5,19.851458340299835,11.961779989928926,false
0.5,117.5,19.85147812385009,11.943029889932934,false
0.5,122.49999999999999,19.851500760761486,11.925773758494827,false
0.5,127.50000000000001,19.85152552069281,11.910142565836976,false
0.5,132.5,19.851551619721892,11.8962551188574,false
0.5,137.5,19.85157824797634,11.88421714981991,false
0.5,142.5,19.851604596275607,11.874120485893865,false
0.5,147.49999999999997,19.85162988072866,11.866042308133977,false
0.5,152.5,19.85165336453931,11.86004450928917,false
0.5,157.5,19.8516743765987,11.856173160270416,false
0.5,162.5,19.851692326758464,11.854458095071713,false
0.5,167.5,19.851706717937226,11.854912623337352,false
0.5,172.5,19.851717155395637,11.857533378568863,false
0.5,177.5,19.851723353600597,11.862300308178922,false
0.5,182.5,19.85172514108938,11.86917680929643,false
0.5,187.5,19.851722463645014,11.87811001152811,false
0.5,192.49999999999997,19.851715385932312,11.889031204942032,false
0.5,197.5,19.85170409154587,11.90185640854402,false
0.5,202.5,19.851688881225733,11.916487071658192,false
0.5,207.5,19.85167016883786,11.932810898083892,false
0.5,212.5,19.85164847462354,11.950702780838409,false
0.5,217.5,19.851624415220744,11.97002583382466,false
0.5,222.5,19.851598690057685,11.990632505953533,false
0.5,227.5,19.851572063912947,12.01236576310965,false
0.5,232.5,19.851545345712676,12.035060323834301,false
0.5,237.49999999999997,19.851519363963344,12.058543935613432,false
0.5,242.49999999999997,19.85149493956538,12.082638680068643,false
0.5,247.49999999999997,19.851472857076313,12.107162296994744,false
0.5,252.50000000000003,19.851453835754114,12.131929518897318,false
