theta_deg,dir_bempp_imp_dBi
0.5,20.134184213938532
0.5,20.13418554477569
1.5000000000000002,19.994394060276733
1.5000000000000002,19.9944109792051
2.5,19.71224024920518
2.5,19.712290814159402
3.5,19.28233148394895
3.5,19.282435431281584
4.5,18.695910934849586
4.5,18.696090676259953
5.5,17.940164128475512
5.5,17.93988210344452
6.5,16.995150370644826
6.5,16.995567384763486
7.499999999999999,15.833764563427215
7.499999999999999,15.83435900621441
8.5,14.413768186542592
8.5,14.41459851261949
9.5,12.669249345502863
9.5,12.670402374282904
10.5,10.490691012052661
10.5,10.489072588990778
11.5,7.666626916509806
11.5,7.664271508230055
12.5,3.7245665381438235
12.5,3.728315322984106
13.5,-2.840141337721618
13.5,-2.832405918221532
14.500000000000002,-39.79514118965567
14.500000000000002,-40.27330095305311
15.5,-3.8043993353928296
15.5,-3.811249458421939
16.5,1.4047711782304004
16.5,1.4018477680501924
17.5,4.0562843043998615
17.5,4.057656650358802
18.5,5.591011179645248
18.5,5.590644067810301
19.5,6.451217088126074
19.5,6.451696632060888
20.5,6.82926925604456
20.5,6.830588161874159
21.5,6.816788488263008
21.5,6.819033866340031
22.5,6.458251873863351
22.5,6.4549027940289765
23.5,5.751260282377915
23.5,5.756007638875548
24.5,4.6829182615495855
24.5,4.689544010873541
25.5,3.1876545063250057
25.5,3.19697657806629
26.5,1.1356649029165036
26.5,1.1492117737420826
27.5,-1.731743051408661
27.5,-1.7528627577808706
28.500000000000004,-6.210841451219769
28.500000000000004,-6.172281189009398
29.500000000000004,-15.524533408467533
29.500000000000004,-15.404443833677979
30.5,-17.195116747212104
30.5,-17.351852493211357
31.5,-7.585423560492451
31.5,-7.638855301497012
32.5,-3.550331800708155
32.5,-3.5845714127210995
33.5,-1.2011339026432386
33.5,-1.1749675694958763
34.5,0.34942080921183777
34.5,0.32771231515907817
35.5,1.329503222761283
35.5,1.3106489197541193
36.5,1.9125038136528048
36.5,1.8956763522106161
37.5,2.1776720712741584
37.5,2.1624181055443104
38.5,2.1551734947581473
38.5,2.169091023863397
39.5,1.9093018550557757
39.5,1.8966356976758227
40.5,1.4049487872176543
40.5,1.3935832437492612
41.5,0.6480500495255038
41.5,0.6381854678569256
42.5,-0.3863933375078593
42.5,-0.3943466174209725
43.5,-1.7531392026586887
43.5,-1.7478527477413142
44.5,-3.529103509839015
44.5,-3.5278972186189583
45.5,-5.904080640798394
45.5,-5.898313001549279
46.5,-9.271332821986503
46.5,-9.251458796050745
47.5,-14.809800526234042
47.5,-14.749565299826362
48.5,-32.27631320444202
48.5,-31.612618746351032
49.5,-17.94787653867435
49.5,-18.094376451459112
50.5,-11.55452063711186
50.5,-11.468585799380557
51.5,-8.058071312659257
51.5,-8.126797014613825
52.50000000000001,-5.842008868978972
52.50000000000001,-5.903400247964061
53.5,-4.281528251103051
53.5,-4.339487061027113
54.5,-3.1446260414131344
54.5,-3.2011638184551066
55.5,-2.3659288786667485
55.5,-2.3095780200151457
56.5,-1.7043128833440255
56.5,-1.7613412394644536
57.5,-1.2825079778926125
57.5,-1.3408886326672123
58.5,-1.0125771716885945
58.5,-1.0728866289270007
59.5,-0.8720147343355135
59.5,-0.9347832968407039
60.5,-0.9099915598169717
60.5,-0.8442464469016244
61.50000000000001,-0.9167649219377243
61.50000000000001,-0.9860152757710626
62.50000000000001,-1.0799711150662568
62.50000000000001,-1.153286443114336
63.50000000000001,-1.3264274856613727
63.50000000000001,-1.4044169508085682
64.5,-1.6503633848911998
64.5,-1.7337045387631824
65.5,-2.0473420852149284
65.5,-2.1368020372236796
66.5,-2.610496391445774
66.5,-2.51403596464844
67.5,-3.04807737257085
67.5,-3.152565250778829
68.5,-3.6479651741914463
68.5,-3.761691634326059
69.5,-4.313014733164407
69.5,-4.437425277930395
70.5,-5.043344191158885
70.5,-5.180184837262613
71.5,-5.991299412017744
71.5,-5.839893475821764
