theta_deg,dir_julia_imp_dBi
1.5,19.891813639923075
1.5,19.89206361853522
4.5,18.50959620168873
4.5,18.511834811862187
7.499999999999999,15.449464767663345
7.499999999999999,15.455566855823758
10.499999999999998,9.652235353364508
10.499999999999998,9.66327983152074
13.5,-6.286297728856534
13.5,-6.28032360375001
16.499999999999996,2.2343596772373853
16.499999999999996,2.2851754138432194
19.5,6.084360926710042
19.5,6.148247063246524
22.5,5.277200978872231
22.5,5.365471345384856
25.499999999999996,0.7751317322039815
25.499999999999996,0.8985138940567052
28.5,-12.21870977019033
28.5,-12.522794231991849
31.5,-4.189321441880497
31.5,-4.271213272105302
34.5,0.04023610556500183
34.5,0.12953820537369154
37.49999999999999,0.19212549461993933
37.49999999999999,0.38218450988973784
40.5,-2.439844480456922
40.5,-2.0870856372323905
43.5,-8.927132877489813
43.5,-7.957275910812487
46.49999999999999,-14.867614230931494
46.49999999999999,-12.954947238229149
49.5,-7.080562699728329
49.5,-6.700464272303486
52.5,-4.329472684698112
52.5,-4.002374233966722
55.49999999999999,-3.9910562561035863
55.49999999999999,-3.5591031030715543
58.5,-5.313298997718581
58.5,-4.628321726906726
61.49999999999999,-8.303138811248878
61.49999999999999,-6.951615090284742
64.5,-13.838194075118999
64.5,-10.16043144620497
67.5,-25.888318379165423
67.5,-12.390052598029603
70.49999999999999,-18.366194809194837
70.49999999999999,-11.654395233126454
73.5,-13.540064325073825
73.5,-10.269551912061575
76.5,-11.83315884878599
76.5,-9.672411354168776
79.49999999999999,-11.663053879863641
79.49999999999999,-9.989743986044274
82.5,-12.559118951051767
82.5,-11.163150836637826
85.5,-14.230187330857486
85.5,-13.054014137956058
88.49999999999999,-15.902969855396671
88.49999999999999,-14.930323942729046
91.5,-15.90296985539668
91.5,-14.930323942729053
94.5,-14.230187330857493
94.5,-13.054014137956065
97.49999999999999,-12.559118951051754
97.49999999999999,-11.16315083663783
100.5,-11.663053879863654
100.5,-9.989743986044274
103.5,-11.83315884878599
103.5,-9.672411354168757
106.49999999999999,-13.540064325073802
106.49999999999999,-10.26955191206156
109.5,-18.366194809194756
109.5,-11.654395233126426
112.5,-25.888318379165426
112.5,-12.390052598029603
115.49999999999999,-13.838194075119068
115.49999999999999,-10.160431446204985
118.49999999999999,-8.303138811248921
118.49999999999999,-6.951615090284784
121.5,-5.313298997718596
121.5,-4.628321726906716
124.49999999999999,-3.9910562561035885
124.49999999999999,-3.559103103071555
127.49999999999999,-4.329472684698097
127.49999999999999,-4.002374233966714
130.5,-7.080562699728329
130.5,-6.700464272303487
133.5,-14.867614230931434
133.5,-12.954947238229128
136.49999999999997,-8.927132877489912
136.49999999999997,-7.957275910812557
139.5,-2.4398444804569284
139.5,-2.087085637232407
142.5,0.19212549461993747
142.5,0.38218450988974056
145.49999999999997,0.04023610556501138
145.49999999999997,0.12953820537370653
148.5,-4.189321441880476
148.5,-4.271213272105279
151.5,-12.218709770190422
151.5,-12.52279423199196
154.49999999999997,0.7751317322039266
154.49999999999997,0.8985138940566308
157.5,5.277200978872224
157.5,5.365471345384849
160.5,6.0843609267100405
160.5,6.148247063246529
163.49999999999997,2.234359677237474
163.49999999999997,2.2851754138432874
166.5,-6.286297728856644
166.5,-6.280323603750114
169.5,9.652235353364457
169.5,9.663279831520693
172.49999999999997,15.449464767663315
172.49999999999997,15.455566855823726
175.5,18.50959620168872
175.5,18.511834811862183
178.5,19.891813639923072
178.5,19.89206361853522
