theta_deg,phi_deg,dir_bempp_dBi
0.5,2.5,19.87465204333582
0.5,7.499999999999999,19.87463372446748
0.5,12.5,19.874614568248358
0.5,17.5,19.87459471016652
0.5,22.5,19.874574336955106
0.5,27.5,19.874553689009243
0.5,32.5,19.874533061577814
0.5,37.5,19.874512803953024
0.5,42.49999999999999,19.87449331594281
0.5,47.5,19.87447504108115
0.5,52.5,19.874458456296274
0.5,57.5,19.87444405808633
0.5,62.49999999999999,19.874432345611424
0.5,67.5,19.874423801458946
0.5,72.5,19.87441887113317
0.5,77.5,19.874417942527593
0.5,82.5,19.874421326730463
0.5,87.5,19.874429241478033
0.5,92.5,19.874441798408267
0.5,97.5,19.87445899499273
0.5,102.5,19.874480711666592
0.5,107.49999999999999,19.87450671427173
0.5,112.5,19.874536661518878
0.5,117.5,19.874570116804268
0.5,122.49999999999999,19.874606563421537
0.5,127.50000000000001,19.874645422020553
0.5,132.5,19.874686069096153
0.5,137.5,19.874727855345448
0.5,142.5,19.874770122898777
0.5,147.49999999999997,19.87481222068333
0.5,152.5,19.874853517484418
0.5,157.5,19.87489341258935
0.5,162.5,19.87493134419187
0.5,167.5,19.87496679596615
0.5,172.5,19.874999302361847
0.5,177.5,19.875028453210824
0.5,182.5,19.875053898169416
0.5,187.5,19.87507535136206
0.5,192.49999999999997,19.875092596365235
0.5,197.5,19.875105491409187
0.5,202.5,19.875113974416728
0.5,207.5,19.875118067281704
0.5,212.5,19.87511787864726
0.5,217.5,19.87511360440013
0.5,222.5,19.87510552516384
0.5,227.5,19.875094000248414
0.5,232.5,19.875079457782324
0.5,237.49999999999997,19.875062381084735
0.5,242.49999999999997,19.875043291697303
0.5,247.49999999999997,19.875022729843714
0.5,252.50000000000003,19.875001233379493
0.5,257.5,19.874979316501392
0.5,262.5,19.87495744957633
0.5,267.5,19.8749360414135
0.5,272.5,19.874915425138656
0.5,277.5,19.87489584855409
0.5,282.5,19.87487746950847
0.5,287.5,19.874860356395207
0.5,292.5,19.87484449348875
0.5,297.5,19.87482979045861
0.5,302.5,19.874816095107512
0.5,307.5,19.87480320819293
0.5,312.5,19.874790899126022
0.5,317.5,19.87477892140039
0.5,322.5,19.87476702677404
0.5,327.5,19.874754977485082
0.5,332.5,19.874742556092656
0.5,337.5,19.87472957285708
0.5,342.49999999999994,19.874715870870062
0.5,347.5,19.874701329378897
0.5,352.5,19.874685865892538
0.5,357.5,19.874669437696404
1.5000000000000002,2.5,19.739045206390195
1.5000000000000002,7.499999999999999,19.739013131560146
1.5000000000000002,12.5,19.73897568922026
1.5000000000000002,17.5,19.7389301464852
1.5000000000000002,22.5,19.73887321372463
1.5000000000000002,27.5,19.738801581637333
1.5000000000000002,32.5,19.73871251775045
1.5000000000000002,37.5,19.73860444526624
1.5000000000000002,42.49999999999999,19.738477427644206
1.5000000000000002,47.5,19.73833349220765
1.5000000000000002,52.5,19.738176744244328
1.5000000000000002,57.5,19.73801324737598
1.5000000000000002,62.49999999999999,19.73785067350033
1.5000000000000002,67.5,19.73769775306851
1.5000000000000002,72.5,19.737563580558113
1.5000000000000002,77.5,19.73745684783338
1.5000000000000002,82.5,19.737385087492033
1.5000000000000002,87.5,19.73735400812184
1.5000000000000002,92.5,19.737366993617865
1.5000000000000002,97.5,19.7374248204788
1.5000000000000002,102.5,19.737525622460648
1.5000000000000002,107.49999999999999,19.737665104031596
1.5000000000000002,112.5,19.737836976060326
1.5000000000000002,117.5,19.738033562408624
1.5000000000000002,122.49999999999999,19.738246507515075
1.5000000000000002,127.50000000000001,19.73846750482923
1.5000000000000002,132.5,19.738688965255363
1.5000000000000002,137.5,19.73890455361224
1.5000000000000002,142.5,19.73910953839066
1.5000000000000002,147.49999999999997,19.739300923665056
1.5000000000000002,152.5,19.73947735901721
1.5000000000000002,157.5,19.739638850483566
1.5000000000000002,162.5,19.73978631956297
1.5000000000000002,167.5,19.73992107532063
1.5000000000000002,172.5,19.74004427443473
1.5000000000000002,177.5,19.740156444486335
1.5000000000000002,182.5,19.740257136858734
1.5000000000000002,187.5,19.740344758402607
1.5000000000000002,192.49999999999997,19.74041660766015
1.5000000000000002,197.5,19.740469114801268
1.5000000000000002,202.5,19.740498257787316
1.5000000000000002,207.5,19.74050010392434
1.5000000000000002,212.5,19.740471408782575
1.5000000000000002,217.5,19.74041019557626
1.5000000000000002,222.5,19.740316238643945
1.5000000000000002,227.5,19.740191384626637
1.5000000000000002,232.5,19.740039663152555
1.5000000000000002,237.49999999999997,19.7398671631472
1.5000000000000002,242.49999999999997,19.739681678398394
1.5000000000000002,247.49999999999997,19.739492153430312
1.5000000000000002,252.50000000000003,19.73930798478614
1.5000000000000002,257.5,19.739138250591118
1.5000000000000002,262.5,19.738990950607366
1.5000000000000002,267.5,19.738872338746212
1.5000000000000002,272.5,19.73878642016
1.5000000000000002,277.5,19.738734666734807
1.5000000000000002,282.5,19.73871598020216
1.5000000000000002,287.5,19.738726904098385
1.5000000000000002,292.5,19.738762057746175
1.5000000000000002,297.5,19.738814740643807
1.5000000000000002,302.5,19.738877637054877
1.5000000000000002,307.5,19.73894354037728
1.5000000000000002,312.5,19.739006016205217
1.5000000000000002,317.5,19.73905993190534
1.5000000000000002,322.5,19.739101797882512
1.5000000000000002,327.5,19.73912988938253
1.5000000000000002,332.5,19.739144144788
1.5000000000000002,337.5,19.739145863625986
1.5000000000000002,342.49999999999994,19.739137251634567
1.5000000000000002,347.5,19.739120878320264
1.5000000000000002,352.5,19.739099122311103
1.5000000000000002,357.5,19.739073680294446
2.5,2.5,19.4658548862478
2.5,7.499999999999999,19.46590956146253
2.5,12.5,19.466013234008873
2.5,17.5,19.46614004409606
2.5,22.5,19.466256376441898
2.5,27.5,19.466325262845622
2.5,32.5,19.46631135171341
2.5,37.5,19.466185830619764
2.5,42.49999999999999,19.465930689956675
2.5,47.5,19.465541791846206
2.5,52.5,19.465030349357924
2.5,57.5,19.46442260969774
2.5,62.49999999999999,19.46375774895252
2.5,67.5,19.463084199844747
2.5,72.5,19.462454822421975
2.5,77.5,19.461921468185338
2.5,82.5,19.461529563814956
2.5,87.5,19.4613133418917
2.5,92.5,19.461292272195525
2.5,97.5,19.461469106754215
2.5,102.5,19.461829761552526
2.5,107.49999999999999,19.462345040706147
2.5,112.5,19.462973991383755
2.5,117.5,19.463668486298555
2.5,122.49999999999999,19.464378488324932
2.5,127.50000000000001,19.46505737564567
2.5,132.5,19.465666704492953
2.5,137.5,19.466179859591392
2.5,142.5,19.46658418056355
2.5,147.49999999999997,19.46688133895605
2.5,152.5,19.46708595281656
2.5,157.5,19.467222638625863
2.5,162.5,19.46732188854682
2.5,167.5,19.467415301906733
2.5,172.5,19.46753077652849
2.5,177.5,19.467688268450352
2.5,182.5,19.46789665702819
2.5,187.5,19.468152114814124
2.5,192.49999999999997,19.46843819461333
2.5,197.5,19.468727632661576
2.5,202.5,19.468985653262074
2.5,207.5,19.46917437281721
