theta_deg,dir_julia_imp_dBi
1.5,19.69801675287404
1.5,19.697530789597685
4.5,18.492864760052953
4.5,18.48799978406801
7.499999999999999,15.877436442858635
7.499999999999999,15.860311136090724
10.499999999999998,11.19669522941468
10.499999999999998,11.14427441293457
13.5,1.7000677929991461
13.5,1.4653123723915515
16.499999999999996,-2.9936222044797405
16.499999999999996,-2.6520839106816787
19.5,4.487439257958712
19.5,4.681582194157928
22.5,5.469039552649109
22.5,5.645724876623025
25.499999999999996,3.4806290579497743
25.499999999999996,3.6870383407585643
28.5,-1.7355548613204523
28.5,-1.3770554504041879
31.5,-12.99395423538028
31.5,-11.101291384793319
34.5,-5.77989597055166
34.5,-5.4168085904876815
37.49999999999999,-1.9740549990576437
37.49999999999999,-1.7747871535593507
40.5,-1.4037444753139199
40.5,-1.2172374173753973
43.5,-2.7371662448715206
43.5,-2.5466195183567293
46.49999999999999,-5.745950319691216
46.49999999999999,-5.565280129835516
49.5,-10.72424077632071
49.5,-10.630021845386752
52.5,-16.74029568128286
52.5,-16.796828282389594
55.49999999999999,-15.033567181483283
55.49999999999999,-14.495430983342182
58.5,-12.193778485253443
58.5,-11.438731475522356
61.49999999999999,-11.131576147718157
61.49999999999999,-10.219779359423196
64.5,-11.228419522086984
64.5,-10.130253425587837
67.5,-12.09714958394435
67.5,-10.763896586633479
70.49999999999999,-13.517568368367371
70.49999999999999,-11.887358739754765
73.5,-15.337224013323038
73.5,-13.336608703731379
76.5,-17.411821646601354
76.5,-14.964807054248155
79.49999999999999,-19.55398884236647
79.49999999999999,-16.610610191222015
82.5,-21.497362992376505
82.5,-18.085410853159
85.5,-22.938858080396702
85.5,-19.19400149785828
88.49999999999999,-23.68053404722702
88.49999999999999,-19.785055919475976
91.5,-23.680534047227027
91.5,-19.78505591947598
94.5,-22.938858080396706
94.5,-19.19400149785828
97.49999999999999,-21.497362992376516
97.49999999999999,-18.08541085315904
100.5,-19.553988842366483
100.5,-16.61061019122204
103.5,-17.411821646601364
103.5,-14.964807054248155
106.49999999999999,-15.337224013323034
106.49999999999999,-13.336608703731407
109.5,-13.517568368367384
109.5,-11.887358739754777
112.5,-12.097149583944356
112.5,-10.763896586633477
115.49999999999999,-11.228419522086986
115.49999999999999,-10.130253425587838
118.49999999999999,-11.13157614771814
118.49999999999999,-10.2197793594232
121.5,-12.19377848525344
121.5,-11.438731475522339
124.49999999999999,-15.033567181483248
124.49999999999999,-14.495430983342148
127.49999999999999,-16.740295681282905
127.49999999999999,-16.796828282389583
130.5,-10.72424077632071
130.5,-10.630021845386752
133.5,-5.745950319691246
133.5,-5.565280129835548
136.49999999999997,-2.737166244871547
136.49999999999997,-2.5466195183567497
139.5,-1.4037444753139192
139.5,-1.2172374173754
142.5,-1.9740549990576177
142.5,-1.7747871535593367
145.49999999999997,-5.779895970551605
145.49999999999997,-5.416808590487637
148.5,-12.99395423538029
148.5,-11.101291384793342
151.5,-1.7355548613204885
151.5,-1.3770554504042123
154.49999999999997,3.4806290579497463
154.49999999999997,3.6870383407585328
157.5,5.469039552649113
157.5,5.645724876623025
160.5,4.487439257958722
160.5,4.681582194157932
163.49999999999997,-2.993622204479591
163.49999999999997,-2.6520839106815592
166.5,1.7000677929990986
166.5,1.4653123723915162
169.5,11.196695229414646
169.5,11.144274412934541
172.49999999999997,15.877436442858608
172.49999999999997,15.860311136090694
175.5,18.492864760052942
175.5,18.487999784068
178.5,19.698016752874036
178.5,19.697530789597682
