theta_deg,dir_pec_dBi,dir_opt_dBi
0.5,19.851725141089375,12.410008233572906
0.5,19.85172335360059,12.416857830043579
1.5000000000000002,19.718278425581403,12.7869120791181
1.5000000000000002,19.718262297948478,12.80778046176015
2.5,19.44908209836253,13.00425248635709
2.5,19.44903707048798,13.040170808248552
3.5,19.039321532574608,13.062068737074261
3.5,19.0392325769767,13.11476261158144
4.5,18.48121028964673,12.955944136116473
4.5,18.481061600442093,13.027862534553252
5.5,17.763178406221606,12.676349032089913
5.5,17.76295296646558,12.770767820152123
6.5,16.868510312074402,12.207291375785484
6.5,16.868189232800297,12.328503489938642
7.499999999999999,15.773043182372245,11.523925805718356
7.499999999999999,15.772604596498356,11.67753174304315
8.5,14.44112961996268,10.588479103367277
8.5,14.440546645048196,10.781752703247204
9.5,12.81811056391155,9.343456973297958
9.5,12.817347115162631,9.585529599033983
10.5,10.815013988666776,7.70131951911165
10.5,10.814014920266148,8.001728036184359
11.5,8.273432878832217,5.537127567811758
11.5,8.272096095399519,5.894704932640339
12.5,4.869174962010149,2.758697154988728
12.5,4.867247582820956,3.093451160020702
13.5,-0.23972733463177365,0.002422938331983928
13.5,-0.2432766341267251,-0.17083447032522164
14.500000000000002,-10.422224880737634,0.19033155012107647
14.500000000000002,-10.441434646628895,-1.0178868883955547
15.5,-7.4034350346648115,3.1791804147882226
15.5,-7.4107602671802475,2.0405560398542963
16.5,-0.5406997992327789,6.1180797939521465
16.5,-0.5432092756452156,5.300590324482988
17.5,2.7351652846316075,8.44783792200442
17.5,2.7328856636396814,7.845453187852879
18.5,4.618378326325309,10.27084730319848
18.5,4.615880005273963,9.807033959711069
19.5,5.72717295239641,11.713349833000619
19.5,5.724317824463904,11.344721580928333
20.5,6.312580929548118,12.864264164942993
20.5,6.30927922595567,12.565319527082885
21.5,6.49506565532128,13.783327481991218
21.5,6.491226627942652,13.538068487651284
22.5,6.334634817593695,14.511371540992622
22.5,6.3301465144159454,14.309102605013999
23.5,5.856270377665231,15.07708364388157
23.5,5.850980482556647,14.91022047935312
24.5,5.058807297272737,15.501141343188475
24.5,5.052493397849798,15.36400029027446
25.5,3.914784438048437,15.798754772213082
25.5,3.9070974373545972,15.686844936787086
26.5,2.3613738180613937,15.981265380966427
26.5,2.351714956180367,15.890852417426217
27.5,0.27565378066026336,16.05717495617853
27.5,0.26286500816405567,15.984998422052687
28.500000000000004,-2.5880518414444142,16.03281941585965
28.500000000000004,-2.6066395341565105,15.975900045843801
29.500000000000004,-6.760670652176134,15.912812225759623
29.500000000000004,-6.793091760334415,15.868312923861597
30.5,-12.95446516160623,15.700331082516104
30.5,-13.02797206934348,15.665449823726348
31.5,-12.667622264984832,15.397291159733646
31.5,-12.688360692634573,15.369171693233898
32.5,-7.247230719755619,15.004429114614062
32.5,-7.243315400204892,14.980079381650128
33.5,-3.8562540656707074,14.521308788926358
33.5,-3.8518697986678934,14.4975187334391
34.5,-1.6880144558090713,13.946248756279093
34.5,-1.6849315056543104,13.919499300379112
35.5,-0.2437883452327808,13.276161044977892
35.5,-0.24201494674591523,13.242514458296586
36.5,0.7136136765826261,12.506276931099373
36.5,0.7142033210766329,12.4612351427225
37.5,1.3096391868155346,11.629716103096005
37.5,1.3091243659983234,11.568026410994642
38.5,1.6162543814164372,10.636823785372567
38.5,1.6146474446797374,10.552198194076162
39.5,1.676392571152065,9.514145433460174
39.5,1.6736342311839043,9.398834763803483
40.5,1.515218499340505,8.242808258883226
40.5,1.5111659776639703,8.086922711941746
41.5,1.1455375907790026,6.795887466287262
41.5,1.1399381316411652,6.586252845017223
42.5,0.5701805292753324,5.133957360751687
42.5,0.5626210257195159,4.85207190976011
43.5,-0.21753599936686135,3.1972775535106157
43.5,-0.22772177041884664,2.815419751100513
44.5,-1.2349777088369727,0.8917411243885032
44.5,-1.2488842177993322,0.3651066941169126
45.5,-2.513179449717841,-1.934598764840991
45.5,-2.532678545299896,-2.683580052369101
46.5,-4.102048818064133,-5.501176459275526
46.5,-4.13053853143197,-6.594852045876022
47.5,-6.076881228185962,-9.699515284242736
47.5,-6.121027599086631,-10.96852520273134
48.5,-8.533537848074074,-11.297075378229248
48.5,-8.607526830128407,-11.153048768846732
49.5,-11.477702780601252,-8.419982274714481
49.5,-11.61120637623477,-7.748250079754771
50.5,-14.116539399829495,-5.496311879190513
50.5,-14.329059738808752,-4.9736207323676895
51.5,-14.035671002846419,-3.3730486576126637
51.5,-14.198647148926058,-3.0299834429434873
52.50000000000001,-11.666686938687295,-1.8434875682456264
52.50000000000001,-11.728467850527746,-1.6534611380338053
53.5,-9.26446605450057,-0.7232880938859443
53.5,-9.278249170492872,-0.6667982999703739
54.5,-7.355075837975899,0.10392067750820219
54.5,-7.34792199303337,0.037627648457019595
55.5,-5.885172384902653,0.7119966763909734
55.5,-5.8672599645969505,0.5277494068971028
56.5,-4.752550842586526,1.1498882051154897
56.5,-4.72793933096557,0.8487018704271166
57.5,-3.8784523808514586,1.4514943448047721
57.5,-3.8488659042775106,1.0319048903707817
58.5,-3.2072985798905904,1.6412103943398315
58.5,-3.17346250188778,1.1001302355505673
59.5,-2.6996989481618447,1.737165161990849
59.5,-2.6618615194630606,1.0704702342586627
60.5,-2.3270705958174416,1.753189688560839
60.5,-2.285226859043334,0.9561624627358183
61.50000000000001,-2.068122508431061,1.7000602664609854
61.50000000000001,-2.022117662002275,0.7677629439113542
62.50000000000001,-1.9066077140567927,1.5863091795351305
62.50000000000001,-1.856186812497144,0.5139338487785167
63.50000000000001,-1.8298694552625663,1.4187680645214078
63.50000000000001,-1.7747009278706338,0.20199604691593243
64.5,-1.8278818429783477,1.2029400724849117
64.5,-1.767566883795897,-0.161664821783838
65.5,-1.892603634732252,0.943258813694554
65.5,-1.826676934148809,-0.5712844396921288
66.5,-2.017535118630568,0.6432700267835695
66.5,-1.9454593466194625,-1.0214638415048167
67.5,-2.1974102979876404,0.3057587163344508
67.5,-2.118565170954299,-1.506949705259827
68.5,-2.427981772528134,-0.06716369910055403
68.5,-2.341647590973645,-2.0224379549896705
69.5,-2.7058710563914303,-0.47400300074859025
69.5,-2.611205899130792,-2.562394856906205
70.5,-3.02846664827445,-0.9138509422702161
70.5,-2.9244757423150807,-3.120896759260497
71.5,-3.393858309045828,-1.386376229587257
71.5,-3.279353319010903,-3.6914972950538214
72.5,-3.8008000517969465,-1.8918368913041363
72.5,-3.674345013177636,-4.2671394169926185
73.5,-4.24869708349215,-2.4311151693897197
73.5,-4.108536273783338,-4.840138167595546
74.5,-4.73761378077688,-3.0057780921404613
74.5,-4.581574748190373,-5.40226609555977
75.5,-5.268300905621814,-3.618169289483284
75.5,-5.093662809575986,-5.9449723330636
76.5,-5.842240584954687,-4.27154070723886
76.5,-5.645553422005817,-6.459753089521289
77.5,-6.461706635219971,-4.970237103398054
77.5,-6.238540045358504,-6.938661862300588
78.5,-7.12983445635291,-5.719952124026875
78.5,-6.874424504761517,-7.374904336552594
79.5,-7.850686358455654,-6.52808298890272
79.5,-7.555433527178939,-7.763418133909374
80.5,-8.62927910630388,-7.404221686777537
