row,col,abs_Z,real_Z,imag_Z
1,1,0.04564381154562766,-0.04512795859135108,0.006842871165678543
1,2,0.018157580321587062,0.00156235330276687,0.01809023977984314
1,3,0.0263171514942267,-0.022020853261767857,0.014410915459947946
1,4,0.06644330170746049,-0.030533330147045016,-0.0590121012328842
1,5,0.004396861697085423,0.003936270582829401,-0.0019591239578058348
1,6,0.009474746657625781,-0.008290937381650466,0.004585976620060532
1,7,0.02305570605716812,-0.018129847395567892,0.01424339198393272
1,8,0.01715502076540728,-0.016775915531738208,-0.003586557616090907
1,9,0.013605079175393359,0.004459489075754342,0.012853448430361002
1,10,0.0058890504318586025,0.0025307867242512685,-0.005317521372343277
1,11,0.06644330170746045,-0.030533330147045006,-0.05901210123288416
1,12,0.0058890504318586,0.002530786724251259,-0.005317521372343278
1,13,0.01045210904094203,0.009071471084289929,0.005191820082652503
1,14,0.0019801948994039704,0.0007633748940788008,-0.0018271372719956428
1,15,0.04997100334634192,0.011804553947294627,0.048556705834987675
1,16,0.014609709122638998,0.00010434313728359815,-0.014609336506420234
1,17,0.014609709122638984,0.00010434313728360508,-0.01460933650642022
1,18,0.04997100334634186,0.011804553947294627,0.04855670583498761
1,19,0.023055706057168127,-0.018129847395567892,0.01424339198393273
1,20,0.02740709157784391,-0.02585051722456678,-0.009104912299341435
1,21,0.026317151494226698,-0.022020853261767864,0.014410915459947929
2,1,0.018157580321587062,0.0015623533027668694,0.01809023977984314
2,2,0.045643811545627654,-0.045127958591351075,0.006842871165678563
2,3,0.012477786143959644,0.01246840468610939,-0.00048376816534024836
2,4,0.01360507917539336,0.004459489075754348,0.012853448430361002
2,5,0.049971003346341886,0.011804553947294632,0.04855670583498764
2,6,0.009474746657625778,-0.008290937381650468,0.004585976620060521
2,7,0.027407091577843903,-0.025850517224566768,-0.009104912299341435
2,8,0.011700821588252785,0.010183078839490715,0.005763170237711087
2,9,0.06644330170746048,-0.030533330147045033,-0.05901210123288418
2,10,0.001671632179137364,-0.0016328668112892129,0.00035791076949112644
2,11,0.013605079175393366,0.004459489075754348,0.012853448430361007
2,12,0.04997100334634187,0.01180455394729462,0.048556705834987626
2,13,0.014609709122638984,0.00010434313728361762,-0.01460933650642022
2,14,0.007290675640649257,-0.007289361418510362,0.00013842473582800598
2,15,0.005889050431858606,0.002530786724251257,-0.005317521372343286
2,16,0.010452109040942027,0.009071471084289925,0.005191820082652503
2,17,0.005647484816759017,-0.005643965886585152,0.00019933345576371778
2,18,0.0043968616970854225,0.003936270582829398,-0.0019591239578058382
2,19,0.013101180618515614,0.012786115648872958,-0.002855902696629427
2,20,0.02305570605716812,-0.01812984739556789,0.014243391983932726
2,21,0.026317151494226695,-0.022020853261767843,0.014410915459947951
3,1,0.0263171514942267,-0.022020853261767854,0.014410915459947948
3,2,0.012477786143959646,0.012468404686109392,-0.0004837681653402473
3,3,0.045643811545627654,-0.04512795859135108,0.006842871165678513
3,4,0.02305570605716812,-0.018129847395567885,0.01424339198393273
3,5,0.0016716321791373613,0.0016328668112892113,-0.0003579107694911213
3,6,0.011700821588252787,0.010183078839490716,0.0057631702377110875
3,7,0.013605079175393364,0.004459489075754344,0.012853448430361007
3,8,0.009474746657625781,-0.008290937381650468,0.0045859766200605275
3,9,0.013101180618515621,0.012786115648872966,-0.002855902696629423
3,10,0.04997100334634185,-0.011804553947294637,-0.048556705834987605
3,11,0.027407091577843903,-0.02585051722456677,-0.009104912299341433
3,12,0.004396861697085429,-0.003936270582829406,0.001959123957805837
3,13,0.005647484816759018,0.005643965886585153,-0.0001993334557637177
3,14,0.007290675640649253,0.007289361418510359,-0.0001384247358280102
3,15,0.005889050431858603,-0.0025307867242512698,0.005317521372343277
3,16,0.010452109040942036,-0.00907147108428993,-0.005191820082652511
3,17,0.014609709122638984,-0.0001043431372836054,0.01460933650642022
3,18,0.04997100334634189,-0.011804553947294613,-0.048556705834987654
3,19,0.06644330170746043,-0.030533330147045026,-0.05901210123288415
3,20,0.013605079175393366,0.004459489075754347,0.012853448430361009
3,21,0.018157580321587062,0.0015623533027668657,0.01809023977984314
4,1,0.06644330170746048,-0.030533330147045012,-0.0590121012328842
4,2,0.01360507917539336,0.004459489075754347,0.012853448430361002
4,3,0.02305570605716812,-0.01812984739556789,0.014243391983932726
4,4,0.045643811545627654,-0.04512795859135108,0.006842871165678513
4,5,0.0043968616970854225,-0.0039362705828294,0.0019591239578058348
4,6,0.02305570605716813,-0.018129847395567895,0.01424339198393273
4,7,0.009474746657625772,-0.008290937381650465,0.004585976620060518
4,8,0.06644330170746045,-0.030533330147045016,-0.05901210123288417
4,9,0.018157580321587072,0.0015623533027668704,0.01809023977984315
4,10,0.0058890504318586095,-0.002530786724251271,0.005317521372343283
4,11,0.017155020765407276,-0.016775915531738204,-0.003586557616090909
4,12,0.010452109040942032,-0.009071471084289927,-0.0051918200826525105
4,13,0.005889050431858602,-0.002530786724251262,0.005317521372343279
4,14,0.014609709122638979,-0.00010434313728360916,0.014609336506420215
4,15,0.049971003346341906,-0.011804553947294622,-0.04855670583498766
4,16,0.0019801948994039626,-0.0007633748940787993,0.001827137271995635
4,17,0.049971003346341886,-0.011804553947294643,-0.04855670583498764
4,18,0.014609709122638988,-0.00010434313728361105,0.014609336506420224
4,19,0.026317151494226712,-0.022020853261767875,0.014410915459947937
4,20,0.02631715149422669,-0.022020853261767843,0.014410915459947946
4,21,0.027407091577843903,-0.02585051722456677,-0.009104912299341432
5,1,0.0043968616970854225,0.0039362705828294,-0.0019591239578058348
5,2,0.049971003346341886,0.011804553947294637,0.04855670583498764
5,3,0.001671632179137363,0.0016328668112892126,-0.00035791076949112286
5,4,0.004396861697085423,-0.0039362705828294015,0.0019591239578058335
5,5,0.08289830264234561,-0.033734574314398434,0.07572388709521095
5,6,0.01045210904094204,-0.009071471084289934,-0.005191820082652516
5,7,0.01045210904094203,0.009071471084289929,0.005191820082652503
5,8,0.005647484816759024,-0.0056439658865851585,0.00019933345576372155
