theta_deg,phi_deg,dir_julia_imp_dBi,in_target
1.5,7.499999999999999,19.675967376696043,false
1.5,22.5,19.6757619414095,false
1.5,37.49999999999999,19.675277249320526,false
1.5,52.5,19.67456202094341,false
1.5,67.5,19.673807710176312,false
1.5,82.5,19.673297404670034,false
1.5,97.49999999999999,19.673249007893293,false
1.5,112.49999999999999,19.67367567192488,false
1.5,127.49999999999999,19.674382086595408,false
1.5,142.5,19.675097811221217,false
1.5,157.5,19.675630895666774,false
1.5,172.49999999999997,19.675919476179363,false
1.5,187.5,19.67596737669604,false
1.5,202.49999999999997,19.675761941409494,false
1.5,217.49999999999997,19.67527724932054,false
1.5,232.5,19.6745620209434,false
1.5,247.49999999999997,19.67380771017631,false
1.5,262.49999999999994,19.67329740467003,false
1.5,277.5,19.673249007893308,false
1.5,292.5,19.673675671924883,false
1.5,307.49999999999994,19.674382086595408,false
1.5,322.5,19.675097811221228,false
1.5,337.5,19.675630895666764,false
1.5,352.49999999999994,19.67591947617937,false
4.5,7.499999999999999,18.43999203883762,false
4.5,22.5,18.446698292338777,false
4.5,37.49999999999999,18.450771377692696,false
4.5,52.5,18.44402320124287,false
4.5,67.5,18.428237980471344,false
4.5,82.5,18.41472605257245,false
4.5,97.49999999999999,18.414240346272802,false
4.5,112.49999999999999,18.4269291142786,false
4.5,127.49999999999999,18.44227586000609,false
4.5,142.5,18.449067524973913,false
4.5,157.5,18.445476491447913,false
4.5,172.49999999999997,18.439549909409685,false
4.5,187.5,18.439992038837627,false
4.5,202.49999999999997,18.446698292338787,false
4.5,217.49999999999997,18.450771377692693,false
4.5,232.5,18.44402320124289,false
4.5,247.49999999999997,18.428237980471337,false
4.5,262.49999999999994,18.414726052572448,false
4.5,277.5,18.414240346272784,false
4.5,292.5,18.426929114278597,false
4.5,307.49999999999994,18.44227586000607,false
4.5,322.5,18.44906752497391,false
4.5,337.5,18.445476491447906,false
4.5,352.49999999999994,18.439549909409685,false
7.499999999999999,7.499999999999999,15.742272436321002,false
7.499999999999999,22.5,15.822374997502735,false
7.499999999999999,37.49999999999999,15.89370065259123,false
7.499999999999999,52.5,15.872881794652988,false
7.499999999999999,67.5,15.765104905902117,false
7.499999999999999,82.5,15.663346993582364,false
7.499999999999999,97.49999999999999,15.66163520956614,false
7.499999999999999,112.49999999999999,15.76064149879324,false
7.499999999999999,127.49999999999999,15.867216107082607,false
7.499999999999999,142.5,15.888433146594693,false
7.499999999999999,157.5,15.81871551450279,false
7.499999999999999,172.49999999999997,15.740966464916458,false
7.499999999999999,187.5,15.74227243632101,false
7.499999999999999,202.49999999999997,15.822374997502743,false
7.499999999999999,217.49999999999997,15.893700652591233,false
7.499999999999999,232.5,15.872881794652988,false
7.499999999999999,247.49999999999997,15.765104905902106,false
7.499999999999999,262.49999999999994,15.663346993582346,false
7.499999999999999,277.5,15.66163520956614,false
7.499999999999999,292.5,15.760641498793229,false
7.499999999999999,307.49999999999994,15.867216107082616,false
7.499999999999999,322.5,15.888433146594686,false
7.499999999999999,337.5,15.818715514502788,false
7.499999999999999,352.49999999999994,15.740966464916447,false
10.499999999999998,7.499999999999999,10.839146350384144,false
10.499999999999998,22.5,11.301595029942852,false
10.499999999999998,37.49999999999999,11.722942725248851,false
10.499999999999998,52.5,11.673589574749494,false
10.499999999999998,67.5,11.162583786787721,false
10.499999999999998,82.5,10.642225528495944,false
10.499999999999998,97.49999999999999,10.636971559301116,false
10.499999999999998,112.49999999999999,11.15002169388179,false
10.499999999999998,127.49999999999999,11.659380428770078,false
10.499999999999998,142.5,11.710796333383138,false
10.499999999999998,157.5,11.293372078649961,false
10.499999999999998,172.49999999999997,10.836179788362859,false
10.499999999999998,187.5,10.839146350384173,false
10.499999999999998,202.49999999999997,11.301595029942872,false
10.499999999999998,217.49999999999997,11.722942725248881,false
10.499999999999998,232.5,11.67358957474951,false
10.499999999999998,247.49999999999997,11.162583786787742,false
10.499999999999998,262.49999999999994,10.642225528495963,false
10.499999999999998,277.5,10.63697155930112,false
10.499999999999998,292.5,11.150021693881783,false
10.499999999999998,307.49999999999994,11.65938042877006,false
10.499999999999998,322.5,11.710796333383126,false
10.499999999999998,337.5,11.29337207864996,false
10.499999999999998,352.49999999999994,10.836179788362838,false
13.5,7.499999999999999,0.19763990851397306,false
13.5,22.5,3.0836461298713087,false
13.5,37.49999999999999,5.236683685883641,false
13.5,52.5,5.121916571263078,false
13.5,67.5,2.7246043953400045,false
13.5,82.5,-0.3703478611070699,false
13.5,97.49999999999999,-0.3967240346936102,false
13.5,112.49999999999999,2.681107264019997,false
13.5,127.49999999999999,5.087176972851568,false
13.5,142.5,5.211398187457723,false
13.5,157.5,3.0644508331091886,false
13.5,172.49999999999997,0.18781719275734865,false
13.5,187.5,0.19763990851399427,false
13.5,202.49999999999997,3.0836461298713456,false
13.5,217.49999999999997,5.236683685883654,false
13.5,232.5,5.121916571263101,false
13.5,247.49999999999997,2.7246043953400316,false
13.5,262.49999999999994,-0.37034786110706786,false
13.5,277.5,-0.39672403469361234,false
13.5,292.5,2.6811072640199853,false
13.5,307.49999999999994,5.087176972851539,false
13.5,322.5,5.211398187457719,false
13.5,337.5,3.064450833109198,false
13.5,352.49999999999994,0.1878171927573283,false
16.499999999999996,7.499999999999999,-1.4377965719399777,false
16.499999999999996,22.5,-13.167090379262493,false
16.499999999999996,37.49999999999999,-6.041104729114747,false
16.499999999999996,52.5,-6.368131592715152,false
16.499999999999996,67.5,-10.16970426311671,false
16.499999999999996,82.5,-0.5913610315266975,false
16.499999999999996,97.49999999999999,-0.5700859712480018,false
16.499999999999996,112.49999999999999,-10.111849894920264,false
16.499999999999996,127.49999999999999,-6.485324789451413,false
16.499999999999996,142.5,-6.09656064397169,false
16.499999999999996,157.5,-13.301524861842104,false
16.499999999999996,172.49999999999997,-1.4459255380497282,false
16.499999999999996,187.5,-1.4377965719400267,false
16.499999999999996,202.49999999999997,-13.167090379262676,false
16.499999999999996,217.49999999999997,-6.041104729114658,false
16.499999999999996,232.5,-6.368131592715089,false
16.499999999999996,247.49999999999997,-10.16970426311683,false
16.499999999999996,262.49999999999994,-0.5913610315267019,false
16.499999999999996,277.5,-0.570085971248009,false
16.499999999999996,292.5,-10.111849894920246,false
16.499999999999996,307.49999999999994,-6.485324789451408,false
16.499999999999996,322.5,-6.09656064397165,false
16.499999999999996,337.5,-13.301524861842157,false
16.499999999999996,352.49999999999994,-1.4459255380497036,false
19.5,7.499999999999999,5.179891531227712,false
19.5,22.5,-0.11243304907728416,false
19.5,37.49999999999999,-19.146436018168092,false
19.5,52.5,-16.97290087545904,false
19.5,67.5,0.28066487888516073,false
19.5,82.5,5.331333976248562,false
19.5,97.49999999999999,5.342664666289767,false
19.5,112.49999999999999,0.31563725658943215,false
19.5,127.49999999999999,-16.96734680748371,false
19.5,142.5,-19.271890476919477,false
19.5,157.5,-0.14567422660671592,false
19.5,172.49999999999997,5.171152666040485,false
19.5,187.5,5.179891531227709,false
19.5,202.49999999999997,-0.11243304907729357,false
19.5,217.49999999999997,-19.14643601816825,false
19.5,232.5,-16.972900875459228,false
19.5,247.49999999999997,0.2806648788851436,false
19.5,262.49999999999994,5.331333976248553,false
19.5,277.5,5.342664666289757,false
19.5,292.5,0.31563725658943487,false
19.5,307.49999999999994,-16.96734680748377,false
19.5,322.5,-19.271890476919676,false
19.5,337.5,-0.14567422660676627,false
19.5,352.49999999999994,5.1711526660404825,false
22.5,7.499999999999999,5.848239016865527,false
22.5,22.5,1.0310101824897624,false
22.5,37.49999999999999,-15.934617333957302,false
22.5,52.5,-15.017150188033995,false
22.5,67.5,1.1682272381075978,false
22.5,82.5,5.759807651916554,false
22.5,97.49999999999999,5.769305623951167,false
22.5,112.49999999999999,1.1868043505312942,false
22.5,127.49999999999999,-15.13053686509133,false
22.5,142.5,-16.193350345760862,false
22.5,157.5,0.9797792342288085,false
22.5,172.49999999999997,5.834603449659262,false
22.5,187.5,5.848239016865523,false
22.5,202.49999999999997,1.031010182489764,false
22.5,217.49999999999997,-15.934617333957293,false
22.5,232.5,-15.017150188034012,false
22.5,247.49999999999997,1.168227238107594,false
22.5,262.49999999999994,5.759807651916564,false
22.5,277.5,5.769305623951166,false
22.5,292.5,1.186804350531281,false
22.5,307.49999999999994,-15.130536865091406,false
22.5,322.5,-16.1933503457611,false
22.5,337.5,0.9797792342287486,false
22.5,352.49999999999994,5.834603449659236,false
25.499999999999996,7.499999999999999,3.5018775091082803,false
25.499999999999996,22.5,-1.2929658704249758,false
25.499999999999996,37.49999999999999,-21.95999641608355,false
25.499999999999996,52.5,-25.452143262668624,false
25.499999999999996,67.5,-1.3212355911183782,false
25.499999999999996,82.5,3.167068008706525,false
25.499999999999996,97.49999999999999,3.180699095138539,false
25.499999999999996,112.49999999999999,-1.3114379309243618,false
25.499999999999996,127.49999999999999,-25.84481479383214,false
25.499999999999996,142.5,-21.652003272317614,false
25.499999999999996,157.5,-1.3731130571073336,false
25.499999999999996,172.49999999999997,3.4790607087474994,false
25.499999999999996,187.5,3.5018775091082994,false
25.499999999999996,202.49999999999997,-1.2929658704249727,false
25.499999999999996,217.49999999999997,-21.959996416083484,false
25.499999999999996,232.5,-25.452143262669132,false
25.499999999999996,247.49999999999997,-1.321235591118388,false
25.499999999999996,262.49999999999994,3.1670680087065177,false
25.499999999999996,277.5,3.1806990951385345,false
25.499999999999996,292.5,-1.3114379309243827,false
25.499999999999996,307.49999999999994,-25.844814793831986,false
25.499999999999996,322.5,-21.652003272317216,false
25.499999999999996,337.5,-1.3731130571074268,false
25.499999999999996,352.49999999999994,3.4790607087474763,false
28.5,7.499999999999999,-2.669223454085098,true
28.5,22.5,-6.640240724155905,false
28.5,37.49999999999999,-11.780122662342228,false
28.5,52.5,-12.675860923217696,false
28.5,67.5,-6.903784536138751,false
28.5,82.5,-3.3319442409365942,false
28.5,97.49999999999999,-3.282564022474505,false
28.5,112.49999999999999,-6.888371049554277,false
28.5,127.49999999999999,-12.53329713064559,false
28.5,142.5,-11.635044101829966,false
28.5,157.5,-6.764564477288564,false
28.5,172.49999999999997,-2.7200136124749763,false
28.5,187.5,-2.669223454085095,false
28.5,202.49999999999997,-6.640240724155886,false
28.5,217.49999999999997,-11.78012266234229,false
28.5,232.5,-12.675860923217828,false
28.5,247.49999999999997,-6.903784536138685,false
28.5,262.49999999999994,-3.3319442409365734,false
28.5,277.5,-3.282564022474528,false
28.5,292.5,-6.8883710495543005,false
28.5,307.49999999999994,-12.533297130645574,false
28.5,322.5,-11.635044101829841,false
28.5,337.5,-6.764564477288671,false
28.5,352.49999999999994,-2.720013612475009,true
31.5,7.499999999999999,-14.887933920250106,true
31.5,22.5,-17.34863179801713,false
31.5,37.49999999999999,-9.529528151361639,false
31.5,52.5,-10.253139924602221,false
31.5,67.5,-18.335414521555123,false
31.5,82.5,-10.280852862806318,false
31.5,97.49999999999999,-10.194049850411147,false
31.5,112.49999999999999,-18.12816540459003,false
31.5,127.49999999999999,-10.13545510779337,false
31.5,142.5,-9.517980931815494,false
31.5,157.5,-17.504491910159828,false
31.5,172.49999999999997,-15.00987461920889,false
31.5,187.5,-14.88793392025,false
31.5,202.49999999999997,-17.348631798017124,false
31.5,217.49999999999997,-9.529528151361697,false
31.5,232.5,-10.253139924602335,false
31.5,247.49999999999997,-18.335414521554927,false
31.5,262.49999999999994,-10.280852862806348,false
31.5,277.5,-10.19404985041109,false
31.5,292.5,-18.128165404590113,false
31.5,307.49999999999994,-10.135455107793385,false
31.5,322.5,-9.51798093181544,false
31.5,337.5,-17.5044919101601,false
31.5,352.49999999999994,-15.009874619208844,true
34.5,7.499999999999999,-3.343880969667074,false
34.5,22.5,-23.25393530272503,false
34.5,37.49999999999999,-11.087851217204845,false
34.5,52.5,-12.026630272589463,false
34.5,67.5,-21.452923901162897,false
34.5,82.5,-2.4622654360728515,false
34.5,97.49999999999999,-2.503824782807118,false
34.5,112.49999999999999,-21.46103043412435,false
34.5,127.49999999999999,-11.872836839077351,false
34.5,142.5,-11.242453231509216,false
34.5,157.5,-23.29001432996413,false
34.5,172.49999999999997,-3.3380586972171713,false
34.5,187.5,-3.3438809696670555,false
34.5,202.49999999999997,-23.25393530272477,false
34.5,217.49999999999997,-11.087851217204914,false
34.5,232.5,-12.026630272589545,false
34.5,247.49999999999997,-21.4529239011635,false
34.5,262.49999999999994,-2.462265436072907,false
34.5,277.5,-2.503824782807094,false
34.5,292.5,-21.46103043412404,false
34.5,307.49999999999994,-11.87283683907744,false
34.5,322.5,-11.242453231509215,false
34.5,337.5,-23.290014329964002,false
34.5,352.49999999999994,-3.3380586972171846,false
37.49999999999999,7.499999999999999,-0.1663878227430299,false
37.49999999999999,22.5,-19.532562695240728,false
37.49999999999999,37.49999999999999,-16.36472057313891,false
37.49999999999999,52.5,-18.04043711932175,false
37.49999999999999,67.5,-18.601518282272473,false
37.49999999999999,82.5,-0.008135740911329747,false
37.49999999999999,97.49999999999999,-0.06503861770126747,false
37.49999999999999,112.49999999999999,-18.820595009369203,false
37.49999999999999,127.49999999999999,-17.54860948901118,false
37.49999999999999,142.5,-16.94012312648351,false
37.49999999999999,157.5,-19.99515203731062,false
37.49999999999999,172.49999999999997,-0.172299368146086,false
37.49999999999999,187.5,-0.16638782274299133,false
37.49999999999999,202.49999999999997,-19.5325626952405,false
37.49999999999999,217.49999999999997,-16.364720573138978,false
37.49999999999999,232.5,-18.04043711932181,false
37.49999999999999,247.49999999999997,-18.60151828227284,false
37.49999999999999,262.49999999999994,-0.0081357409113539,false
37.49999999999999,277.5,-0.06503861770124397,false
37.49999999999999,292.5,-18.820595009369022,false
37.49999999999999,307.49999999999994,-17.548609489011415,false
37.49999999999999,322.5,-16.940123126483545,false
37.49999999999999,337.5,-19.995152037310657,false
37.49999999999999,352.49999999999994,-0.17229936814610808,false
40.5,7.499999999999999,0.0744412989930625,false
40.5,22.5,-23.21789976881622,false
40.5,37.49999999999999,-24.86602830932812,false
40.5,52.5,-22.980597139370907,false
40.5,67.5,-23.33579830183224,false
40.5,82.5,-0.18114810534102108,false
40.5,97.49999999999999,-0.2490855975867866,false
40.5,112.49999999999999,-23.853282033438425,false
40.5,127.49999999999999,-22.155635207708496,false
40.5,142.5,-25.44204007643486,false
40.5,157.5,-24.124688985621503,false
40.5,172.49999999999997,0.05763509845506282,false
40.5,187.5,0.07444129899308145,false
40.5,202.49999999999997,-23.21789976881592,false
40.5,217.49999999999997,-24.866028309328158,false
40.5,232.5,-22.98059713937082,false
40.5,247.49999999999997,-23.335798301832703,false
40.5,262.49999999999994,-0.18114810534105275,false
40.5,277.5,-0.2490855975867769,false
40.5,292.5,-23.853282033438028,false
